Watching PID 4303 page references for every 1 seconds...
Est(s) ;    RSS(kB);    PSS(kB);    Ref(kB)
1.002  ;   49496.00;   47733.00;   18608.00
1.002  ;   49496.00;   47733.00;   13888.00
1.002  ;   49496.00;   47733.00;   22768.00
1.002  ;   49496.00;   47733.00;   18392.00
1.001  ;   49496.00;   47733.00;   18408.00
1.002  ;   49496.00;   47733.00;   20156.00
1.002  ;   49496.00;   47733.00;   18388.00
1.002  ;   49496.00;   47733.00;   18412.00
1.002  ;   49496.00;   47733.00;   18420.00
1.002  ;   49496.00;   47733.00;   18396.00
1.002  ;   49496.00;   47733.00;   18420.00
1.002  ;   49496.00;   47733.00;   20028.00
1.001  ;   49496.00;   47733.00;   18264.00
1.002  ;   49496.00;   47733.00;   18016.00
1.002  ;   49496.00;   47733.00;   18420.00
1.002  ;   49496.00;   47733.00;   18396.00
1.002  ;   49496.00;   47733.00;   18420.00
1.002  ;   49496.00;   47733.00;   20008.00
1.002  ;   49496.00;   47733.00;   18364.00
1.002  ;   49496.00;   47733.00;   18404.00
1.002  ;   49496.00;   47733.00;   18452.00
1.002  ;   49496.00;   47733.00;   18384.00
1.002  ;   49496.00;   47733.00;   18412.00
1.002  ;   49496.00;   47733.00;   20004.00
1.002  ;   49496.00;   47733.00;   18268.00
1.002  ;   49496.00;   47733.00;   18404.00
1.002  ;   49496.00;   47733.00;   18396.00
1.002  ;   49496.00;   47733.00;   18384.00
1.002  ;   49496.00;   47733.00;   18384.00
1.002  ;   49496.00;   47733.00;   24364.00
1.002  ;   49496.00;   47733.00;   13800.00
1.002  ;   49496.00;   47733.00;   18400.00
1.002  ;   49496.00;   47733.00;   22748.00
1.002  ;   49496.00;   47733.00;   18412.00
1.002  ;   49496.00;   47733.00;   20016.00
1.002  ;   49496.00;   47733.00;   18396.00
1.002  ;   49496.00;   47733.00;   18424.00
1.002  ;   49496.00;   47733.00;   18432.00
1.002  ;   49496.00;   47733.00;   18412.00
1.002  ;   49496.00;   47733.00;   18440.00
1.002  ;   49496.00;   47733.00;   20044.00
1.002  ;   49496.00;   47733.00;   18376.00
1.002  ;   49496.00;   47733.00;   17852.00
1.002  ;   49496.00;   47733.00;   18424.00
1.002  ;   49496.00;   47733.00;   18408.00
1.002  ;   49496.00;   47733.00;   18428.00
1.002  ;   49496.00;   47733.00;   20004.00
1.002  ;   49496.00;   47733.00;   18364.00
1.002  ;   49496.00;   47733.00;   18404.00
1.002  ;   49496.00;   47733.00;   18408.00
1.002  ;   49496.00;   47733.00;   18424.00
1.002  ;   49496.00;   47733.00;   18412.00
1.002  ;   49496.00;   47733.00;   20004.00
1.002  ;   49496.00;   47733.00;   18216.00
1.002  ;   49496.00;   47733.00;   18452.00
1.002  ;   49496.00;   47733.00;   18392.00
1.002  ;   49496.00;   47733.00;   18344.00
1.002  ;   49496.00;   47733.00;   24400.00
1.002  ;   49496.00;   47733.00;   18404.00
1.002  ;   49496.00;   47733.00;   13736.00
1.002  ;   49496.00;   47733.00;   22804.00
1.002  ;   49496.00;   47733.00;   18408.00
1.002  ;   49496.00;   47733.00;   18428.00
1.002  ;   49496.00;   47733.00;   20016.00
1.002  ;   49496.00;   47733.00;   18404.00
1.002  ;   49496.00;   47733.00;   18424.00
1.002  ;   49496.00;   47733.00;   18396.00
1.002  ;   49496.00;   47733.00;   18404.00
1.002  ;   49496.00;   47733.00;   18424.00
1.002  ;   49496.00;   47733.00;   20032.00
1.002  ;   49496.00;   47733.00;   18308.00
1.002  ;   49496.00;   47733.00;   18320.00
1.002  ;   49496.00;   47733.00;   18404.00
1.002  ;   49496.00;   47733.00;   18404.00
1.002  ;   49496.00;   47733.00;   18416.00
1.002  ;   49496.00;   47733.00;   19996.00
1.002  ;   49496.00;   47733.00;   18336.00
1.002  ;   49496.00;   47733.00;   18304.00
1.002  ;   49496.00;   47733.00;   18404.00
1.002  ;   49496.00;   47733.00;   18396.00
1.002  ;   49496.00;   47733.00;   18432.00
