Watching PID 5036 page references for every 1 seconds...
Est(s) ;    RSS(kB);    PSS(kB);    Ref(kB)
1.001  ;   12564.00;   10862.00;   10024.00
1.001  ;   10136.00;    8434.00;    7132.00
1.001  ;    8296.00;    6594.00;    5296.00
1.001  ;   20340.00;   18638.00;   17036.00
1.001  ;    8384.00;    6682.00;    5384.00
1.001  ;   22252.00;   20550.00;   18920.00
1.001  ;   22252.00;   20550.00;    5388.00
1.002  ;   35356.00;   33654.00;   31848.00
1.001  ;   22380.00;   20678.00;    5012.00
1.001  ;   22380.00;   20678.00;    3780.00
1.002  ;   49116.00;   47414.00;   45356.00
1.002  ;   43724.00;   42022.00;    7532.00
1.001  ;   22380.00;   20678.00;    6660.00
1.001  ;   22380.00;   20678.00;    3224.00
1.002  ;   51012.00;   49310.00;   46820.00
1.001  ;   68072.00;   66370.00;   63380.00
1.002  ;   60420.00;   58718.00;    9324.00
1.002  ;   22380.00;   20678.00;    7536.00
1.001  ;   22380.00;   20678.00;     796.00
1.001  ;   22380.00;   20678.00;    5744.00
1.002  ;   86348.00;   84646.00;   81896.00
1.002  ;   86348.00;   84646.00;   12680.00
1.002  ;   22380.00;   20678.00;    6316.00
1.001  ;   22380.00;   20678.00;    7444.00
1.001  ;   22380.00;   20678.00;    3288.00
1.001  ;   22380.00;   20678.00;    7156.00
1.002  ;   70256.00;   68554.00;   65900.00
1.002  ;  100584.00;   98882.00;   95852.00
1.002  ;  100584.00;   98882.00;   14508.00
1.002  ;   22380.00;   20678.00;    7016.00
1.001  ;   22380.00;   20678.00;    8520.00
1.001  ;   22380.00;   20678.00;    1680.00
1.001  ;   22380.00;   20678.00;    3800.00
1.002  ;   43344.00;   41642.00;   39764.00
1.003  ;  131020.00;  129318.00;  126244.00
1.003  ;  131020.00;  129318.00;   12500.00
1.003  ;  131020.00;  129318.00;   17564.00
1.002  ;   22380.00;   20678.00;    4120.00
1.001  ;   22380.00;   20678.00;    7244.00
1.001  ;   22380.00;   20678.00;    3820.00
1.001  ;   22380.00;   20678.00;     860.00
1.001  ;   22380.00;   20678.00;     448.00
1.001  ;   22380.00;   20678.00;   12152.00
1.003  ;  125748.00;  124046.00;  120436.00
1.003  ;  179900.00;  178198.00;  173604.00
1.003  ;  179900.00;  178198.00;   15212.00
1.003  ;  179900.00;  178198.00;   18444.00
1.003  ;  179900.00;  178198.00;   18212.00
1.003  ;  179900.00;  178198.00;   37848.00
1.003  ;  158720.00;  157018.00;   18900.00
1.002  ;   22380.00;   20678.00;    9460.00
1.001  ;   22380.00;   20678.00;    5848.00
1.001  ;   22380.00;   20678.00;    1964.00
