Watching PID 5720 page references for every 1 seconds...
Est(s) ;    RSS(kB);    PSS(kB);    Ref(kB)
1.002  ;   86792.00;   85023.00;   83576.00
1.002  ;  114244.00;  112475.00;   91640.00
1.003  ;  114932.00;  113163.00;   54276.00
1.002  ;  116916.00;  115147.00;   51192.00
1.002  ;  118652.00;  116883.00;   58036.00
1.002  ;  119260.00;  117491.00;   54200.00
1.003  ;  120144.00;  118375.00;   50692.00
1.002  ;  120632.00;  118863.00;   53480.00
1.003  ;  120728.00;  118959.00;   52660.00
1.003  ;  120824.00;  119055.00;   50916.00
1.003  ;  121868.00;  120099.00;   56908.00
1.003  ;  121904.00;  120135.00;   53900.00
1.003  ;  121940.00;  120171.00;   50688.00
1.003  ;  121976.00;  120207.00;   49960.00
1.003  ;  122004.00;  120235.00;   51692.00
1.002  ;  122020.00;  120251.00;   51828.00
1.003  ;  122020.00;  120251.00;   51880.00
1.003  ;  122020.00;  120251.00;   52036.00
1.003  ;  122040.00;  120271.00;   52844.00
1.003  ;  122048.00;  120279.00;   51900.00
1.003  ;  122048.00;  120279.00;   50520.00
1.003  ;  122076.00;  120307.00;   52060.00
1.003  ;  122156.00;  120387.00;   52912.00
1.003  ;  122236.00;  120467.00;   51904.00
1.003  ;  122324.00;  120555.00;   52088.00
1.003  ;  122368.00;  120599.00;   55536.00
1.003  ;  122440.00;  120671.00;   56624.00
1.003  ;  122520.00;  120751.00;   57196.00
1.003  ;  122568.00;  120799.00;   57556.00
1.003  ;  122592.00;  120823.00;   52892.00
1.003  ;  122636.00;  120867.00;   55752.00
1.003  ;  122684.00;  120915.00;   55400.00
1.003  ;  122720.00;  120951.00;   56092.00
1.003  ;  122768.00;  120999.00;   58008.00
1.003  ;  122796.00;  121027.00;   57036.00
1.003  ;  122820.00;  121051.00;   55232.00
1.003  ;  122916.00;  121147.00;   56540.00
1.003  ;  125936.00;  124167.00;   69980.00
1.003  ;  125948.00;  124179.00;   65832.00
1.003  ;  126112.00;  124343.00;   65412.00
1.003  ;  126116.00;  124347.00;   60048.00
1.003  ;  126120.00;  124351.00;   59544.00
1.003  ;  126208.00;  124439.00;   63312.00
1.003  ;  126228.00;  124459.00;   63492.00
1.003  ;  126248.00;  124479.00;   64528.00
1.003  ;  126320.00;  124551.00;   65288.00
1.003  ;  127428.00;  125659.00;   70392.00
1.003  ;  127428.00;  125659.00;   64212.00
1.003  ;  127428.00;  125659.00;   60556.00
1.003  ;  127428.00;  125659.00;   54536.00
1.003  ;  127432.00;  125663.00;   55312.00
1.003  ;  127432.00;  125663.00;   64084.00
1.003  ;  127444.00;  125675.00;   67432.00
1.003  ;  127444.00;  125675.00;   64960.00
1.003  ;  127444.00;  125675.00;   62984.00
1.003  ;  127444.00;  125675.00;   65304.00
1.003  ;  127444.00;  125675.00;   56068.00
1.003  ;  127452.00;  125683.00;   60712.00
1.003  ;  127456.00;  125687.00;   59460.00
1.003  ;  127480.00;  125711.00;   67720.00
1.003  ;  127480.00;  125711.00;   68804.00
1.003  ;  127480.00;  125711.00;   70312.00
1.003  ;  127480.00;  125711.00;   69040.00
1.003  ;  127484.00;  125715.00;   69224.00
1.003  ;  127484.00;  125715.00;   60144.00
1.003  ;  127484.00;  125715.00;   60276.00
1.003  ;  127492.00;  125723.00;   59540.00
1.003  ;  127492.00;  125723.00;   58616.00
1.003  ;  127492.00;  125723.00;   61572.00
1.003  ;  127492.00;  125723.00;   63716.00
1.003  ;  127496.00;  125727.00;   68124.00
1.003  ;  127500.00;  125731.00;   63364.00
1.003  ;  127500.00;  125731.00;   72512.00
1.003  ;  127500.00;  125731.00;   67904.00
1.003  ;  127500.00;  125731.00;   68800.00
1.003  ;  127500.00;  125731.00;   68008.00
1.003  ;  127508.00;  125739.00;   70308.00
1.002  ;  127508.00;  125739.00;   72272.00
1.003  ;  127508.00;  125739.00;   58052.00
1.003  ;  127508.00;  125739.00;   56176.00
1.003  ;  127508.00;  125739.00;   60412.00
