Watching PID 6347 page references for every 1 seconds...
Est(s) ;    RSS(kB);    PSS(kB);    Ref(kB)
1.001  ;    6676.00;    4994.00;     168.00
1.001  ;    6676.00;    4994.00;     104.00
1.001  ;    6676.00;    4994.00;     140.00
1.001  ;    6676.00;    4994.00;      96.00
1.001  ;    6676.00;    4994.00;     552.00
1.001  ;    6676.00;    4994.00;    1476.00
1.001  ;    6684.00;    5002.00;     292.00
1.001  ;    6684.00;    5002.00;      24.00
1.001  ;    6684.00;    5002.00;      28.00
1.001  ;    6684.00;    5002.00;      24.00
1.001  ;    6684.00;    5002.00;       0.00
1.001  ;    6684.00;    5002.00;       4.00
1.001  ;    6684.00;    5002.00;      24.00
1.001  ;    6684.00;    5002.00;       8.00
1.001  ;    6684.00;    5002.00;       8.00
1.001  ;    6684.00;    5002.00;       0.00
1.001  ;    6684.00;    5002.00;       4.00
1.001  ;    6684.00;    5002.00;     496.00
1.001  ;    6684.00;    5002.00;      16.00
1.001  ;    6684.00;    5002.00;      36.00
1.001  ;    6684.00;    5002.00;      32.00
1.000  ;    6684.00;    5002.00;      40.00
1.001  ;    6684.00;    5002.00;      20.00
1.001  ;    6684.00;    5002.00;      16.00
1.001  ;    6684.00;    5002.00;      20.00
1.001  ;    6684.00;    5002.00;     208.00
1.001  ;    6684.00;    5002.00;     864.00
1.001  ;    6684.00;    5002.00;      40.00
1.001  ;    6684.00;    5002.00;     228.00
1.001  ;    6684.00;    5002.00;      64.00
1.001  ;    6684.00;    5002.00;      40.00
1.001  ;    6684.00;    5002.00;    1620.00
1.001  ;    6684.00;    5002.00;     376.00
1.001  ;    6684.00;    5002.00;      48.00
1.001  ;    6684.00;    5002.00;      36.00
1.001  ;    6684.00;    5002.00;     880.00
1.001  ;    6684.00;    5002.00;     176.00
1.001  ;    6684.00;    5002.00;     732.00
1.001  ;    6684.00;    5002.00;       0.00
1.001  ;    6684.00;    5002.00;      32.00
1.001  ;    6684.00;    5002.00;      12.00
1.001  ;    6684.00;    5002.00;     108.00
1.001  ;    6684.00;    5002.00;     340.00
1.001  ;    6684.00;    5002.00;    1624.00
1.001  ;    6684.00;    5002.00;      28.00
1.001  ;    6684.00;    5002.00;      16.00
1.001  ;    6684.00;    5002.00;       8.00
1.001  ;    6684.00;    5002.00;     308.00
1.001  ;    6684.00;    5002.00;       8.00
1.001  ;    6684.00;    5002.00;      52.00
1.001  ;    6684.00;    5002.00;       8.00
1.001  ;    6684.00;    5002.00;    1624.00
1.001  ;    6684.00;    5002.00;      12.00
1.001  ;    6684.00;    5002.00;       8.00
1.001  ;    6684.00;    5002.00;      12.00
1.001  ;    6684.00;    5002.00;       8.00
1.001  ;    6684.00;    5002.00;      12.00
1.001  ;    6684.00;    5002.00;    1620.00
1.000  ;    6684.00;    5002.00;      12.00
1.001  ;    6684.00;    5002.00;       0.00
1.001  ;    6684.00;    5002.00;       0.00
1.001  ;    6684.00;    5002.00;    1620.00
1.001  ;    6684.00;    5002.00;      68.00
1.001  ;    6684.00;    5002.00;     272.00
1.001  ;    6684.00;    5002.00;    1616.00
1.001  ;    6684.00;    5002.00;      16.00
1.001  ;    6684.00;    5002.00;       8.00
1.001  ;    6684.00;    5002.00;       4.00
1.001  ;    6684.00;    5002.00;    1620.00
1.001  ;    6684.00;    5002.00;      28.00
1.001  ;    6684.00;    5002.00;       4.00
1.001  ;    6684.00;    5002.00;      28.00
1.001  ;    6684.00;    5002.00;       4.00
1.001  ;    6684.00;    5002.00;       4.00
1.001  ;    6684.00;    5002.00;       0.00
1.001  ;    6684.00;    5002.00;       8.00
1.001  ;    6684.00;    5002.00;      24.00
1.001  ;    6684.00;    5002.00;      12.00
1.001  ;    6684.00;    5002.00;       0.00
1.001  ;    6684.00;    5002.00;      12.00
1.001  ;    6684.00;    5002.00;       4.00
1.001  ;    6684.00;    5002.00;      20.00
1.001  ;    6684.00;    5002.00;       4.00
1.001  ;    6684.00;    5002.00;       8.00
1.001  ;    6684.00;    5002.00;       0.00
1.001  ;    6684.00;    5002.00;      16.00
1.001  ;    6684.00;    5002.00;     244.00
1.001  ;    6684.00;    5002.00;     440.00
1.001  ;    6684.00;    5002.00;       4.00
1.001  ;    6684.00;    5002.00;      16.00
1.001  ;    6684.00;    5002.00;     312.00
1.001  ;    6684.00;    5002.00;    1436.00
1.001  ;    6684.00;    5002.00;     616.00
1.001  ;    6684.00;    5002.00;    1624.00
1.001  ;    6684.00;    5002.00;     100.00
1.001  ;    6684.00;    5002.00;     124.00
1.001  ;    6684.00;    5002.00;     168.00
1.001  ;    6684.00;    5002.00;    1620.00
1.001  ;    6684.00;    5002.00;      68.00
1.001  ;    6684.00;    5002.00;       4.00
1.001  ;    6684.00;    5002.00;     344.00
1.001  ;    6684.00;    5002.00;      24.00
1.001  ;    6684.00;    5002.00;      20.00
1.001  ;    6684.00;    5002.00;       4.00
1.001  ;    6684.00;    5002.00;       8.00
1.001  ;    6684.00;    5002.00;       0.00
1.001  ;    6684.00;    5002.00;    1616.00
1.001  ;    6684.00;    5002.00;      28.00
1.001  ;    6684.00;    5002.00;      12.00
1.001  ;    6684.00;    5002.00;      20.00
1.001  ;    6684.00;    5002.00;       4.00
1.001  ;    6684.00;    5002.00;       4.00
1.001  ;    6684.00;    5002.00;      28.00
1.001  ;    6684.00;    5002.00;       8.00
1.001  ;    6684.00;    5002.00;       0.00
1.001  ;    6684.00;    5002.00;    1356.00
1.001  ;    6684.00;    5002.00;     708.00
1.001  ;    6684.00;    5002.00;      96.00
1.001  ;    6684.00;    5002.00;      56.00
1.001  ;    6684.00;    5002.00;      20.00
1.001  ;    6684.00;    5002.00;       0.00
1.001  ;    6684.00;    5002.00;    1512.00
1.001  ;    6684.00;    5002.00;     548.00
1.001  ;    6684.00;    5002.00;    1572.00
1.001  ;    6684.00;    5002.00;    1548.00
1.001  ;    6684.00;    5002.00;      12.00
1.001  ;    6684.00;    5002.00;    1532.00
1.001  ;    6684.00;    5002.00;     556.00
1.001  ;    6684.00;    5002.00;     392.00
1.001  ;    6684.00;    5002.00;     488.00
1.001  ;    6684.00;    5002.00;     236.00
1.001  ;    6684.00;    5002.00;     216.00
1.001  ;    6684.00;    5002.00;     224.00
1.001  ;    6684.00;    5002.00;     480.00
1.001  ;    6684.00;    5002.00;     124.00
1.001  ;    6684.00;    5002.00;     256.00
1.001  ;    6684.00;    5002.00;    1488.00
