Watching PID 6957 page references for every 1 seconds...
Est(s) ;    RSS(kB);    PSS(kB);    Ref(kB)
1.002  ;  104524.00;  102821.00;   96852.00
1.003  ;  147212.00;  145509.00;  137000.00
1.003  ;  165860.00;  164057.00;  133284.00
1.004  ;  170424.00;  168605.00;  167064.00
1.003  ;  170852.00;  169033.00;  151940.00
1.004  ;  171000.00;  169181.00;  151780.00
1.004  ;  171484.00;  169665.00;  152156.00
1.004  ;  171484.00;  169665.00;  150616.00
1.004  ;  171680.00;  169861.00;  151848.00
1.004  ;  171680.00;  169861.00;  151656.00
1.004  ;  171680.00;  169861.00;  147244.00
1.004  ;  171680.00;  169861.00;  147356.00
1.004  ;  171680.00;  169861.00;  149672.00
1.004  ;  171680.00;  169861.00;  150856.00
1.004  ;  171680.00;  169861.00;  150688.00
1.004  ;  171812.00;  169993.00;  152356.00
1.004  ;  172196.00;  170377.00;  152456.00
1.004  ;  172228.00;  170409.00;  152416.00
1.004  ;  172228.00;  170409.00;  150084.00
1.004  ;  172228.00;  170409.00;  146620.00
1.004  ;  172228.00;  170409.00;  147484.00
1.004  ;  172228.00;  170409.00;  152528.00
1.004  ;  172228.00;  170409.00;  146704.00
1.004  ;  172228.00;  170409.00;  146568.00
1.004  ;  172228.00;  170409.00;  146748.00
1.004  ;  172228.00;  170409.00;  148040.00
1.004  ;  172228.00;  170409.00;  146160.00
1.004  ;  172228.00;  170409.00;  147840.00
1.004  ;  172228.00;  170409.00;  146712.00
1.004  ;  172228.00;  170409.00;  146208.00
1.004  ;  172228.00;  170409.00;  147084.00
1.004  ;  172228.00;  170409.00;  146688.00
1.004  ;  172228.00;  170409.00;  145420.00
1.004  ;  172228.00;  170409.00;  146816.00
1.004  ;  172228.00;  170409.00;  147288.00
1.004  ;  172228.00;  170409.00;  146680.00
1.004  ;  172228.00;  170409.00;  145852.00
1.004  ;  172228.00;  170409.00;  146280.00
1.004  ;  172228.00;  170409.00;  145536.00
1.004  ;  172228.00;  170409.00;  146380.00
1.004  ;  172228.00;  170409.00;  146176.00
1.004  ;  172228.00;  170409.00;  146044.00
1.004  ;  172228.00;  170409.00;  146144.00
1.004  ;  172228.00;  170409.00;  146288.00
1.004  ;  172228.00;  170409.00;  146560.00
1.004  ;  172228.00;  170409.00;  146384.00
1.004  ;  172228.00;  170409.00;  152260.00
1.004  ;  172228.00;  170409.00;  145552.00
1.004  ;  172236.00;  170417.00;  146124.00
1.004  ;  172236.00;  170417.00;  146424.00
1.004  ;  172236.00;  170417.00;  146484.00
1.004  ;  172236.00;  170417.00;  146512.00
1.004  ;  172236.00;  170417.00;  146372.00
1.004  ;  172236.00;  170417.00;  146528.00
1.004  ;  172236.00;  170417.00;  145876.00
1.004  ;  172236.00;  170417.00;  146288.00
1.004  ;  172236.00;  170417.00;  147448.00
1.004  ;  172236.00;  170417.00;  146820.00
1.004  ;  172328.00;  170509.00;  146432.00
1.004  ;  172328.00;  170509.00;  146392.00
1.004  ;  172328.00;  170509.00;  147620.00
1.004  ;  172384.00;  170565.00;  147380.00
1.004  ;  172384.00;  170565.00;  146612.00
1.003  ;  172384.00;  170565.00;  147372.00
1.003  ;  172384.00;  170565.00;  147508.00
1.003  ;  172384.00;  170565.00;  147508.00
1.004  ;  172540.00;  170721.00;  147072.00
1.004  ;  172540.00;  170721.00;  147224.00
1.004  ;  172540.00;  170721.00;  146704.00
1.004  ;  172540.00;  170721.00;  147564.00
1.004  ;  172540.00;  170721.00;  147264.00
1.004  ;  172540.00;  170721.00;  147208.00
1.004  ;  172552.00;  170733.00;  147736.00
1.004  ;  172552.00;  170733.00;  147752.00
1.004  ;  172552.00;  170733.00;  152812.00
1.004  ;  172568.00;  170749.00;  146928.00
1.004  ;  172568.00;  170749.00;  147384.00
1.004  ;  172620.00;  170801.00;  150092.00
1.004  ;  172640.00;  170821.00;  147608.00
1.004  ;  172640.00;  170821.00;  148208.00
1.004  ;  172640.00;  170821.00;  148120.00
1.004  ;  172640.00;  170821.00;  146864.00
1.004  ;  172640.00;  170821.00;  147940.00
1.004  ;  172640.00;  170821.00;  147640.00
1.003  ;  172644.00;  170825.00;  153196.00
1.004  ;  172792.00;  170973.00;  153296.00
1.004  ;  172792.00;  170973.00;  146588.00
1.004  ;  172792.00;  170973.00;  149184.00
1.004  ;  172792.00;  170973.00;  149248.00
1.004  ;  172812.00;  170993.00;  148848.00
