Watching PID 7491 page references for every 1 seconds...
Est(s) ;    RSS(kB);    PSS(kB);    Ref(kB)
1.005  ;  310860.00;  309190.00;  283336.00
1.005  ;  335484.00;  333814.00;  297472.00
1.005  ;  335564.00;  333837.00;  255812.00
1.005  ;  335564.00;  333837.00;   25024.00
1.005  ;  335564.00;  333837.00;   25020.00
1.005  ;  335564.00;  333837.00;   25104.00
1.006  ;  335564.00;  333837.00;   25132.00
1.006  ;  335564.00;  333837.00;   25136.00
1.005  ;  335564.00;  333837.00;   25144.00
1.005  ;  335564.00;  333837.00;   25180.00
1.005  ;  335564.00;  333837.00;   25100.00
1.005  ;  335564.00;  333837.00;   25124.00
1.005  ;  335564.00;  333837.00;   25092.00
1.006  ;  335564.00;  333837.00;   25296.00
1.006  ;  335564.00;  333837.00;  210520.00
1.006  ;  335564.00;  333837.00;  185864.00
1.006  ;  335564.00;  333837.00;  185888.00
1.006  ;  335564.00;  333837.00;  185872.00
1.006  ;  335564.00;  333837.00;  185860.00
1.006  ;  335564.00;  333837.00;  185872.00
1.006  ;  335564.00;  333837.00;  185884.00
1.006  ;  335564.00;  333837.00;  185892.00
1.006  ;  335564.00;  333837.00;  185880.00
1.006  ;  335564.00;  333837.00;  185880.00
1.006  ;  335564.00;  333837.00;  185888.00
1.006  ;  335564.00;  333837.00;  185868.00
1.006  ;  335564.00;  333837.00;  185876.00
1.006  ;  335564.00;  333837.00;  185876.00
1.006  ;  335564.00;  333837.00;  185872.00
1.006  ;  335564.00;  333837.00;  185876.00
1.006  ;  335564.00;  333837.00;  185864.00
1.006  ;  335564.00;  333837.00;  185888.00
1.006  ;  335564.00;  333837.00;  185868.00
1.006  ;  335564.00;  333837.00;  185876.00
1.005  ;  244724.00;  242997.00;  195988.00
1.005  ;  244724.00;  242997.00;   27408.00
1.004  ;  244724.00;  242997.00;   27704.00
1.004  ;  244724.00;  242997.00;   27384.00
1.004  ;  244724.00;  242997.00;   27936.00
1.004  ;  244724.00;  242997.00;   27612.00
1.004  ;  244724.00;  242997.00;   27472.00
1.004  ;  244724.00;  242997.00;   27432.00
1.005  ;  244724.00;  242997.00;   27700.00
1.005  ;  244724.00;  242997.00;   27628.00
1.005  ;  244724.00;  242997.00;   27664.00
1.005  ;  244724.00;  242997.00;   28040.00
1.005  ;  244724.00;  242997.00;   27532.00
1.005  ;  244724.00;  242997.00;   27844.00
1.004  ;  244724.00;  242997.00;   27232.00
1.004  ;  244724.00;  242997.00;   28428.00
1.005  ;  244724.00;  242997.00;   45240.00
1.004  ;  244724.00;  242997.00;   49344.00
1.005  ;  244724.00;  242997.00;   38876.00
1.004  ;  244724.00;  242997.00;   39372.00
1.005  ;  244724.00;  242997.00;   39068.00
1.004  ;  244724.00;  242997.00;   46528.00
1.004  ;  244724.00;  242997.00;   39116.00
1.005  ;  244724.00;  242997.00;   38400.00
1.005  ;  244724.00;  242997.00;   38044.00
1.005  ;  244724.00;  242997.00;   39500.00
1.004  ;  244724.00;  242997.00;   39132.00
1.004  ;  244724.00;  242997.00;   38868.00
1.004  ;  244724.00;  242997.00;   39748.00
1.004  ;  244724.00;  242997.00;   37812.00
1.004  ;  244724.00;  242997.00;   40212.00
1.004  ;  244724.00;  242997.00;   38660.00
1.004  ;  244724.00;  242997.00;   37904.00
1.005  ;  244724.00;  242997.00;   36424.00
1.005  ;  244724.00;  242997.00;   41836.00
1.004  ;  244724.00;  242997.00;   37864.00
1.005  ;  244724.00;  242997.00;   38904.00
1.004  ;  244792.00;  243013.00;  230956.00
1.005  ;  250468.00;  248689.00;  216900.00
1.005  ;  250468.00;  248689.00;  229012.00
1.005  ;  250468.00;  248689.00;   25164.00
1.005  ;  250468.00;  248689.00;   25196.00
1.005  ;  250468.00;  248689.00;   25156.00
1.005  ;  250468.00;  248689.00;   25192.00
1.005  ;  250468.00;  248689.00;   25184.00
1.004  ;  250468.00;  248689.00;   25136.00
1.004  ;  250468.00;  248689.00;   25272.00
1.005  ;  250468.00;  248689.00;  143160.00
1.005  ;  250468.00;  248689.00;  118656.00
1.005  ;  250468.00;  248689.00;  118636.00
1.005  ;  250468.00;  248689.00;  118660.00
1.005  ;  250468.00;  248689.00;  118652.00
1.005  ;  250468.00;  248689.00;  118624.00
1.005  ;  250468.00;  248689.00;  118624.00
1.005  ;  250468.00;  248689.00;  118636.00
1.005  ;  250468.00;  248689.00;  118632.00
1.005  ;  250468.00;  248689.00;  118644.00
1.005  ;  250468.00;  248689.00;  118648.00
1.005  ;  250468.00;  248689.00;  118632.00
1.005  ;  250468.00;  248689.00;  118648.00
1.005  ;  250468.00;  248689.00;  118640.00
1.005  ;  250468.00;  248689.00;  118632.00
1.005  ;  250468.00;  248689.00;  118624.00
1.005  ;  250468.00;  248689.00;  118624.00
1.005  ;  250468.00;  248689.00;  118636.00
1.005  ;  250468.00;  248689.00;  118632.00
1.005  ;  250468.00;  248689.00;  118628.00
1.005  ;  250468.00;  248689.00;  118652.00
1.005  ;  250468.00;  248689.00;  118648.00
1.005  ;  250468.00;  248689.00;  118636.00
1.005  ;  250468.00;  248689.00;  118644.00
1.005  ;  250468.00;  248689.00;  118624.00
