Watching PID 8754 page references for every 1 seconds...
Est(s) ;    RSS(kB);    PSS(kB);    Ref(kB)
1.002  ;   53092.00;   51513.00;   46984.00
1.002  ;   78704.00;   77125.00;   62896.00
1.002  ;   96512.00;   94933.00;   73368.00
1.003  ;  110752.00;  109173.00;   81448.00
1.003  ;  123544.00;  121965.00;   89128.00
1.003  ;  139244.00;  137665.00;  100992.00
1.003  ;  147196.00;  145617.00;   76616.00
1.003  ;  152988.00;  151409.00;   76664.00
1.004  ;  157864.00;  156285.00;   78212.00
1.004  ;  162172.00;  160593.00;   79476.00
1.004  ;  165856.00;  164277.00;   79820.00
1.004  ;  169620.00;  168041.00;   82892.00
1.004  ;  172952.00;  171373.00;   83744.00
1.004  ;  176148.00;  174569.00;   84692.00
1.004  ;  178848.00;  177269.00;   85216.00
1.004  ;  181520.00;  179941.00;   86260.00
1.004  ;  193524.00;  191945.00;  116920.00
1.004  ;  205112.00;  203533.00;  113108.00
1.004  ;  212644.00;  211065.00;  112636.00
1.004  ;  218476.00;  216897.00;  113936.00
1.004  ;  223636.00;  222057.00;  115428.00
1.005  ;  227912.00;  226333.00;  116648.00
1.005  ;  231808.00;  230229.00;  117448.00
1.005  ;  235248.00;  233669.00;  119096.00
1.005  ;  238616.00;  237037.00;  120688.00
1.005  ;  241892.00;  240313.00;  122492.00
1.005  ;  244932.00;  243353.00;  123984.00
1.005  ;  247704.00;  246125.00;  124020.00
1.005  ;  250488.00;  248909.00;  125592.00
1.005  ;  253080.00;  251501.00;  126908.00
1.005  ;  255536.00;  253957.00;  127992.00
1.005  ;  257912.00;  256333.00;  128888.00
1.005  ;  260256.00;  258677.00;  131328.00
1.005  ;  262684.00;  261105.00;  132416.00
1.005  ;  264992.00;  263413.00;  132612.00
1.005  ;  267248.00;  265669.00;  135416.00
1.005  ;  269416.00;  267837.00;  136064.00
1.005  ;  271536.00;  269957.00;  137592.00
1.005  ;  283096.00;  281517.00;  162420.00
1.005  ;  297024.00;  295445.00;  141492.00
1.006  ;  305732.00;  304153.00;  138552.00
1.006  ;  311384.00;  309805.00;  145244.00
