Watching PID 10017 page references for every 1 seconds...
Est(s) ;    RSS(kB);    PSS(kB);    Ref(kB)
1.005  ;  599796.00;  597925.00;  585188.00
1.007  ;  599800.00;  597929.00;  446020.00
1.008  ;  808064.00;  806193.00;  696684.00
1.009  ;  808064.00;  806193.00;  330120.00
1.009  ;  808064.00;  806193.00;  478324.00
1.009  ;  808064.00;  806193.00;  580856.00
1.009  ;  808064.00;  806193.00;  445928.00
1.009  ;  808064.00;  806193.00;  580868.00
1.009  ;  808064.00;  806193.00;  445920.00
1.009  ;  808064.00;  806193.00;  696668.00
1.009  ;  808064.00;  806193.00;  445920.00
1.009  ;  808064.00;  806193.00;  696668.00
1.009  ;  808064.00;  806193.00;  445920.00
1.009  ;  808064.00;  806193.00;  696668.00
1.009  ;  808064.00;  806193.00;  330120.00
1.009  ;  808064.00;  806193.00;  476672.00
1.009  ;  808064.00;  806193.00;  580856.00
1.009  ;  808064.00;  806193.00;  445928.00
1.009  ;  808064.00;  806193.00;  580868.00
1.009  ;  808064.00;  806193.00;  445920.00
1.009  ;  808064.00;  806193.00;  696668.00
1.009  ;  808064.00;  806193.00;  445924.00
1.009  ;  808064.00;  806193.00;  696668.00
1.009  ;  808064.00;  806193.00;  445924.00
1.009  ;  808068.00;  806197.00;  696672.00
1.009  ;  808068.00;  806197.00;  330124.00
1.009  ;  808068.00;  806197.00;  483436.00
1.009  ;  808068.00;  806197.00;  571576.00
1.009  ;  808068.00;  806197.00;  447836.00
1.009  ;  808068.00;  806197.00;  580860.00
1.009  ;  808068.00;  806197.00;  445924.00
1.009  ;  808068.00;  806197.00;  696672.00
1.009  ;  808068.00;  806197.00;  445924.00
1.009  ;  808068.00;  806197.00;  696672.00
1.009  ;  808068.00;  806197.00;  445924.00
1.009  ;  808068.00;  806197.00;  696672.00
1.010  ;  808068.00;  806197.00;  430084.00
1.010  ;  808068.00;  806197.00;  487936.00
1.009  ;  808068.00;  806197.00;  538744.00
1.009  ;  808068.00;  806197.00;  456180.00
1.009  ;  808068.00;  806197.00;  580860.00
1.009  ;  808068.00;  806197.00;  445924.00
1.009  ;  808068.00;  806197.00;  696672.00
1.008  ;  808068.00;  806197.00;  445924.00
1.008  ;  808068.00;  806197.00;  696676.00
1.009  ;  808068.00;  806197.00;  445924.00
1.009  ;  808068.00;  806197.00;  696672.00
1.009  ;  808068.00;  806197.00;  330124.00
1.009  ;  808068.00;  806197.00;  487796.00
1.009  ;  808068.00;  806197.00;  539108.00
1.009  ;  808068.00;  806197.00;  448596.00
1.009  ;  808068.00;  806197.00;  580860.00
1.009  ;  808068.00;  806197.00;  445924.00
1.010  ;  808068.00;  806197.00;  696676.00
1.009  ;  808068.00;  806197.00;  445924.00
1.009  ;  808068.00;  806197.00;  696672.00
1.009  ;  808068.00;  806197.00;  445928.00
1.009  ;  808072.00;  806201.00;  696676.00
1.009  ;  808072.00;  806201.00;  330128.00
1.009  ;  808072.00;  806201.00;  487800.00
1.009  ;  808072.00;  806201.00;  539112.00
1.009  ;  808072.00;  806201.00;  450896.00
1.009  ;  808072.00;  806201.00;  580864.00
1.009  ;  808072.00;  806201.00;  445928.00
1.009  ;  808072.00;  806201.00;  696676.00
1.009  ;  808072.00;  806201.00;  445928.00
1.009  ;  808072.00;  806201.00;  696676.00
1.009  ;  808072.00;  806201.00;  445928.00
1.009  ;  808072.00;  806201.00;  696676.00
1.010  ;  808072.00;  806201.00;  445928.00
1.009  ;  808072.00;  806201.00;  488164.00
1.010  ;  808072.00;  806201.00;  528060.00
1.009  ;  808072.00;  806201.00;  456652.00
1.009  ;  808072.00;  806201.00;  580864.00
1.010  ;  808072.00;  806201.00;  445928.00
1.010  ;  808072.00;  806201.00;  618088.00
1.009  ;  808072.00;  806201.00;  445928.00
1.009  ;  808072.00;  806201.00;  696676.00
1.009  ;  808072.00;  806201.00;  445928.00
1.009  ;  808072.00;  806201.00;  696676.00
1.009  ;  808072.00;  806201.00;  330128.00
1.009  ;  808072.00;  806201.00;  485904.00
1.009  ;  808072.00;  806201.00;  539112.00
1.009  ;  808072.00;  806201.00;  447916.00
1.009  ;  808072.00;  806201.00;  580864.00
1.009  ;  808072.00;  806201.00;  445928.00
1.009  ;  808072.00;  806201.00;  696676.00
1.009  ;  808072.00;  806201.00;  445924.00
1.009  ;  808072.00;  806201.00;  696676.00
1.009  ;  808072.00;  806201.00;  445924.00
1.009  ;  808072.00;  806201.00;  696676.00
1.009  ;  808072.00;  806201.00;  330128.00
1.009  ;  808072.00;  806201.00;  487740.00
1.009  ;  808076.00;  806205.00;  539132.00
1.009  ;  808076.00;  806205.00;  450100.00
1.009  ;  808076.00;  806205.00;  580872.00
1.009  ;  808076.00;  806205.00;  445928.00
1.009  ;  808076.00;  806205.00;  696684.00
1.009  ;  808076.00;  806205.00;  445928.00
1.009  ;  808076.00;  806205.00;  696684.00
1.009  ;  808076.00;  806205.00;  445928.00
1.009  ;  808076.00;  806205.00;  696684.00
1.010  ;  808076.00;  806205.00;  445928.00
1.009  ;  808076.00;  806205.00;  487944.00
1.009  ;  808076.00;  806205.00;  538712.00
1.009  ;  808076.00;  806205.00;  454772.00
1.009  ;  808076.00;  806205.00;  580872.00
1.009  ;  808076.00;  806205.00;  445928.00
1.010  ;  808076.00;  806205.00;  696684.00
1.009  ;  808076.00;  806205.00;  445928.00
1.009  ;  808076.00;  806205.00;  696684.00
