Watching PID 10778 page references for every 1 seconds...
Est(s) ;    RSS(kB);    PSS(kB);    Ref(kB)
1.003  ;  160012.00;  158241.00;  132872.00
1.003  ;  160012.00;  158241.00;  129000.00
1.003  ;  160132.00;  158348.00;  128740.00
1.003  ;  160724.00;  158940.00;  131352.00
1.003  ;  160724.00;  158940.00;  130724.00
1.003  ;  161068.00;  159284.00;  123472.00
1.003  ;  161068.00;  159284.00;  135520.00
1.003  ;  161088.00;  159304.00;  130436.00
1.003  ;  161652.00;  159868.00;  127636.00
1.003  ;  161652.00;  159868.00;  130904.00
1.003  ;  162100.00;  160316.00;  128016.00
1.003  ;  162480.00;  160696.00;  133132.00
1.003  ;  162480.00;  160696.00;  129236.00
1.003  ;  162848.00;  161064.00;  129984.00
1.003  ;  162848.00;  161064.00;  124916.00
1.003  ;  162872.00;  161088.00;  137404.00
1.003  ;  163180.00;  161396.00;  123152.00
1.003  ;  163180.00;  161396.00;  133644.00
1.003  ;  163212.00;  161428.00;  129260.00
1.003  ;  163296.00;  161512.00;  131240.00
1.003  ;  163296.00;  161512.00;  130972.00
1.003  ;  163380.00;  161596.00;  123532.00
1.003  ;  163384.00;  161600.00;  135908.00
1.003  ;  163384.00;  161600.00;  129480.00
1.003  ;  163636.00;  161852.00;  123172.00
1.003  ;  163636.00;  161852.00;  130972.00
1.003  ;  163880.00;  162096.00;  132336.00
1.003  ;  163908.00;  162124.00;  132964.00
1.003  ;  163908.00;  162124.00;  129404.00
1.003  ;  163940.00;  162156.00;  129768.00
1.003  ;  163940.00;  162156.00;  124996.00
1.003  ;  163976.00;  162192.00;  137200.00
1.003  ;  164064.00;  162280.00;  123124.00
1.003  ;  164064.00;  162280.00;  133760.00
1.003  ;  164100.00;  162316.00;  129348.00
1.003  ;  164128.00;  162344.00;  131244.00
1.003  ;  164128.00;  162344.00;  131048.00
1.003  ;  164180.00;  162396.00;  123644.00
1.003  ;  164208.00;  162424.00;  136236.00
1.003  ;  164208.00;  162424.00;  125176.00
1.003  ;  164416.00;  162632.00;  127772.00
1.003  ;  164416.00;  162632.00;  131180.00
1.003  ;  164436.00;  162652.00;  132000.00
1.003  ;  164456.00;  162672.00;  128812.00
1.003  ;  164456.00;  162672.00;  129520.00
1.003  ;  164472.00;  162688.00;  128172.00
1.003  ;  164472.00;  162688.00;  132280.00
1.003  ;  164472.00;  162688.00;  129528.00
1.003  ;  164532.00;  162748.00;  129788.00
1.003  ;  164532.00;  162748.00;  129552.00
1.003  ;  164552.00;  162768.00;  133616.00
1.003  ;  164604.00;  162820.00;  127452.00
1.003  ;  164604.00;  162820.00;  131184.00
1.003  ;  164672.00;  162888.00;  128044.00
1.003  ;  164696.00;  162912.00;  131012.00
1.003  ;  164696.00;  162912.00;  131172.00
1.003  ;  164728.00;  162944.00;  128248.00
1.003  ;  164728.00;  162944.00;  131212.00
1.003  ;  164728.00;  162944.00;  131776.00
1.003  ;  164896.00;  163112.00;  129240.00
1.003  ;  164896.00;  163112.00;  129532.00
