Watching PID 11771 page references for every 1 seconds...
Est(s) ;    RSS(kB);    PSS(kB);    Ref(kB)
1.002  ;   94508.00;   92754.00;   88192.00
1.002  ;   94508.00;   92754.00;   47820.00
1.002  ;  108484.00;  106730.00;   89032.00
1.003  ;  108484.00;  106730.00;   47044.00
1.003  ;  121552.00;  119798.00;   89196.00
1.003  ;  121552.00;  119798.00;   46480.00
1.003  ;  134616.00;  132862.00;   90384.00
1.003  ;  134616.00;  132862.00;   46664.00
1.003  ;  147680.00;  145926.00;   90492.00
1.002  ;  147680.00;  145926.00;   47632.00
1.003  ;  160740.00;  158986.00;   90536.00
1.003  ;  160740.00;  158986.00;   46936.00
1.003  ;  173804.00;  172050.00;   90700.00
1.003  ;  173804.00;  172050.00;   84804.00
1.003  ;  176616.00;  174862.00;   81008.00
1.003  ;  186868.00;  185114.00;   89436.00
1.003  ;  186868.00;  185114.00;   54980.00
1.004  ;  199932.00;  198178.00;   90096.00
1.004  ;  199932.00;  198178.00;   47980.00
1.004  ;  212996.00;  211242.00;   90008.00
1.004  ;  212996.00;  211242.00;   48584.00
1.004  ;  226056.00;  224302.00;   91052.00
1.004  ;  226056.00;  224302.00;   47456.00
1.004  ;  226056.00;  224302.00;   62208.00
1.004  ;  230760.00;  229006.00;   44436.00
1.004  ;  235464.00;  233710.00;   44516.00
1.003  ;  240168.00;  238414.00;   44252.00
1.004  ;  244872.00;  243118.00;   41764.00
1.004  ;  249576.00;  247822.00;   41564.00
1.004  ;  254280.00;  252526.00;   41644.00
1.004  ;  266260.00;  264506.00;   41656.00
1.004  ;  280456.00;  278702.00;   41508.00
1.005  ;  294656.00;  292902.00;   41408.00
1.005  ;  308852.00;  307098.00;   41376.00
1.005  ;  313884.00;  312130.00;   80488.00
1.005  ;  313884.00;  312130.00;  127144.00
1.005  ;  313884.00;  312130.00;   34788.00
1.005  ;  313884.00;  312130.00;   35716.00
1.005  ;  313884.00;  312130.00;   28168.00
1.005  ;  313884.00;  312130.00;   27612.00
1.005  ;  313884.00;  312130.00;  124204.00
1.005  ;  313884.00;  312130.00;  120088.00
1.005  ;  313884.00;  312130.00;  127004.00
1.005  ;  313884.00;  312130.00;  117760.00
1.005  ;  313884.00;  312130.00;  120968.00
1.005  ;  313884.00;  312130.00;  119916.00
1.005  ;  313884.00;  312130.00;  124904.00
1.005  ;  313884.00;  312130.00;  120052.00
1.005  ;  313884.00;  312130.00;  126980.00
1.005  ;  313884.00;  312130.00;  121268.00
1.005  ;  313884.00;  312130.00;  119984.00
1.005  ;  313884.00;  312130.00;  126892.00
