Watching PID 12783 page references for every 1 seconds...
Est(s) ;    RSS(kB);    PSS(kB);    Ref(kB)
1.001  ;    6588.00;    4900.00;     212.00
1.001  ;    6588.00;    4900.00;     100.00
1.001  ;    6588.00;    4900.00;     128.00
1.001  ;    6588.00;    4900.00;     108.00
1.001  ;    6588.00;    4900.00;      72.00
1.001  ;    6588.00;    4900.00;      52.00
1.001  ;    6588.00;    4900.00;      88.00
1.001  ;    6588.00;    4900.00;      84.00
1.001  ;    6588.00;    4900.00;     788.00
1.001  ;    6588.00;    4900.00;     936.00
1.001  ;    6588.00;    4900.00;     184.00
1.001  ;    6588.00;    4900.00;      56.00
1.001  ;    6588.00;    4900.00;       8.00
1.001  ;    6588.00;    4900.00;      20.00
1.001  ;    6588.00;    4900.00;      56.00
1.001  ;    6588.00;    4900.00;      56.00
1.001  ;    6588.00;    4900.00;      28.00
1.001  ;    6588.00;    4900.00;      20.00
1.001  ;    6588.00;    4900.00;      60.00
1.001  ;    6588.00;    4900.00;     180.00
1.001  ;    6588.00;    4900.00;      36.00
1.001  ;    6588.00;    4900.00;     356.00
1.001  ;    6588.00;    4900.00;     148.00
1.001  ;    6588.00;    4900.00;      76.00
1.001  ;    6592.00;    4904.00;     156.00
1.001  ;    6596.00;    4908.00;    1248.00
1.001  ;    6596.00;    4908.00;     188.00
1.001  ;    6596.00;    4908.00;      76.00
1.001  ;    6596.00;    4908.00;      12.00
1.001  ;    6596.00;    4908.00;      24.00
1.001  ;    6596.00;    4908.00;      44.00
1.001  ;    6596.00;    4908.00;     156.00
1.001  ;    6596.00;    4908.00;     156.00
1.001  ;    6596.00;    4908.00;      44.00
1.001  ;    6596.00;    4908.00;      68.00
1.001  ;    6596.00;    4908.00;      96.00
1.001  ;    6596.00;    4908.00;      16.00
1.001  ;    6596.00;    4908.00;      84.00
1.001  ;    6596.00;    4908.00;      40.00
1.001  ;    6596.00;    4908.00;      52.00
1.001  ;    6596.00;    4908.00;      56.00
1.001  ;    6596.00;    4908.00;     108.00
1.001  ;    6596.00;    4908.00;     300.00
1.001  ;    6596.00;    4908.00;     328.00
1.002  ;    6596.00;    4908.00;      88.00
1.001  ;    6596.00;    4908.00;    1388.00
1.001  ;    6596.00;    4908.00;     124.00
1.001  ;    6596.00;    4908.00;     144.00
1.001  ;    6596.00;    4908.00;      56.00
1.001  ;    6596.00;    4908.00;      64.00
1.001  ;    6596.00;    4908.00;      52.00
1.001  ;    6596.00;    4908.00;     120.00
1.001  ;    6596.00;    4908.00;     720.00
1.001  ;    6596.00;    4908.00;     540.00
1.001  ;    6596.00;    4908.00;     112.00
1.001  ;    6596.00;    4908.00;      12.00
1.001  ;    6596.00;    4908.00;     140.00
1.001  ;    6596.00;    4908.00;     588.00
1.001  ;    6596.00;    4908.00;     196.00
1.001  ;    6596.00;    4908.00;     192.00
1.001  ;    6596.00;    4908.00;      76.00
1.001  ;    6596.00;    4908.00;      92.00
1.001  ;    6596.00;    4908.00;      60.00
1.001  ;    6596.00;    4908.00;      32.00
1.001  ;    6596.00;    4908.00;      52.00
1.001  ;    6596.00;    4908.00;     248.00
1.001  ;    6596.00;    4908.00;      80.00
1.001  ;    6596.00;    4908.00;     284.00
1.001  ;    6596.00;    4908.00;     460.00
1.001  ;    6596.00;    4908.00;      88.00
1.001  ;    6596.00;    4908.00;      88.00
1.001  ;    6596.00;    4908.00;      56.00
1.001  ;    6596.00;    4908.00;      20.00
1.001  ;    6596.00;    4908.00;     148.00
1.001  ;    6596.00;    4908.00;      16.00
1.001  ;    6596.00;    4908.00;       4.00
1.001  ;    6596.00;    4908.00;      40.00
1.001  ;    6596.00;    4908.00;      44.00
1.001  ;    6596.00;    4908.00;     732.00
1.001  ;    6596.00;    4908.00;      48.00
1.001  ;    6596.00;    4908.00;      40.00
1.001  ;    6596.00;    4908.00;      60.00
1.001  ;    6596.00;    4908.00;     388.00
1.001  ;    6596.00;    4908.00;     132.00
1.001  ;    6596.00;    4908.00;       0.00
1.001  ;    6596.00;    4908.00;       0.00
1.001  ;    6596.00;    4908.00;       4.00
1.001  ;    6596.00;    4908.00;      20.00
1.001  ;    6596.00;    4908.00;       8.00
1.001  ;    6596.00;    4908.00;      12.00
1.001  ;    6596.00;    4908.00;      80.00
1.001  ;    6596.00;    4908.00;     100.00
1.001  ;    6596.00;    4908.00;     300.00
1.001  ;    6596.00;    4908.00;      24.00
1.001  ;    6596.00;    4908.00;      32.00
1.001  ;    6596.00;    4908.00;      36.00
1.001  ;    6596.00;    4908.00;       4.00
1.001  ;    6596.00;    4908.00;      28.00
1.001  ;    6596.00;    4908.00;      36.00
1.001  ;    6596.00;    4908.00;     144.00
1.001  ;    6596.00;    4908.00;      96.00
1.001  ;    6596.00;    4908.00;      36.00
1.001  ;    6596.00;    4908.00;     220.00
1.001  ;    6596.00;    4908.00;      64.00
1.001  ;    6596.00;    4908.00;      56.00
1.001  ;    6596.00;    4908.00;      20.00
1.001  ;    6596.00;    4908.00;      80.00
1.001  ;    6596.00;    4908.00;      96.00
1.001  ;    6596.00;    4908.00;      88.00
1.001  ;    6596.00;    4908.00;      84.00
1.001  ;    6596.00;    4908.00;     104.00
1.001  ;    6596.00;    4908.00;      72.00
1.001  ;    6596.00;    4908.00;     452.00
1.001  ;    6596.00;    4908.00;      64.00
1.001  ;    6596.00;    4908.00;      52.00
1.001  ;    6596.00;    4908.00;      28.00
1.001  ;    6596.00;    4908.00;      52.00
1.000  ;    6596.00;    4908.00;     440.00
1.001  ;    6596.00;    4908.00;     364.00
1.001  ;    6596.00;    4908.00;     360.00
1.001  ;    6596.00;    4908.00;     288.00
1.001  ;    6596.00;    4908.00;     328.00
1.001  ;    6596.00;    4908.00;     224.00
1.001  ;    6596.00;    4908.00;     232.00
1.001  ;    6596.00;    4908.00;     332.00
1.001  ;    6596.00;    4908.00;     328.00
1.001  ;    6596.00;    4908.00;     360.00
1.001  ;    6596.00;    4908.00;     700.00
1.001  ;    6596.00;    4908.00;     560.00
1.001  ;    6596.00;    4908.00;     368.00
1.001  ;    6596.00;    4908.00;     336.00
1.001  ;    6596.00;    4908.00;     244.00
1.001  ;    6596.00;    4908.00;     328.00
1.001  ;    6596.00;    4908.00;     340.00
1.001  ;    6596.00;    4908.00;     292.00
1.001  ;    6596.00;    4908.00;     248.00
1.001  ;    6596.00;    4908.00;     336.00
1.001  ;    6596.00;    4908.00;     280.00
1.001  ;    6596.00;    4908.00;     276.00
1.001  ;    6596.00;    4908.00;     292.00
