Watching PID 13704 page references for every 1 seconds...
Est(s) ;    RSS(kB);    PSS(kB);    Ref(kB)
1.003  ;  132952.00;  131236.00;  129472.00
1.003  ;  164860.00;  163144.00;  159144.00
1.003  ;  168260.00;  166544.00;  159624.00
1.003  ;  175832.00;  174116.00;  167528.00
1.004  ;  184552.00;  182836.00;  174536.00
1.004  ;  187904.00;  186188.00;  175192.00
1.004  ;  187924.00;  186208.00;  174628.00
1.004  ;  188452.00;  186736.00;  175348.00
1.004  ;  188972.00;  187256.00;  176012.00
1.004  ;  189216.00;  187500.00;  176116.00
1.004  ;  189992.00;  188276.00;  176712.00
1.004  ;  190400.00;  188684.00;  177156.00
1.004  ;  190948.00;  189232.00;  177824.00
1.004  ;  193296.00;  191580.00;  180240.00
1.004  ;  195664.00;  193948.00;  182744.00
1.004  ;  197604.00;  195888.00;  184812.00
1.004  ;  201580.00;  199864.00;  189140.00
1.004  ;  203148.00;  201432.00;  190972.00
1.004  ;  206056.00;  204340.00;  194536.00
1.004  ;  211324.00;  209608.00;  200980.00
1.004  ;  214876.00;  213160.00;  205240.00
1.004  ;  214992.00;  213276.00;  205540.00
1.004  ;  214992.00;  213276.00;  205940.00
1.004  ;  214992.00;  213276.00;  206204.00
1.004  ;  214992.00;  213276.00;  206164.00
1.004  ;  214992.00;  213276.00;  205996.00
1.004  ;  214992.00;  213276.00;  205752.00
1.004  ;  214992.00;  213276.00;  205472.00
1.005  ;  214992.00;  213276.00;  205064.00
1.005  ;  214992.00;  213276.00;  204804.00
1.004  ;  214992.00;  213276.00;  204712.00
1.004  ;  214992.00;  213276.00;  204588.00
1.004  ;  214992.00;  213276.00;  204816.00
1.004  ;  214992.00;  213276.00;  205440.00
1.004  ;  214992.00;  213276.00;  206316.00
1.004  ;  214992.00;  213276.00;  206964.00
1.004  ;  216464.00;  214748.00;  208572.00
1.004  ;  219332.00;  217616.00;  211428.00
1.004  ;  219912.00;  218196.00;  212028.00
1.004  ;  219912.00;  218196.00;  211908.00
1.004  ;  219912.00;  218196.00;  211856.00
1.004  ;  219912.00;  218196.00;  211628.00
1.004  ;  219912.00;  218196.00;  211476.00
1.004  ;  221320.00;  219604.00;  212736.00
1.004  ;  222064.00;  220348.00;  213468.00
1.004  ;  222064.00;  220348.00;  213428.00
1.004  ;  222700.00;  220984.00;  213988.00
1.004  ;  223096.00;  221380.00;  214500.00
1.004  ;  224040.00;  222324.00;  215468.00
