Watching PID 15203 page references for every 1 seconds...
Est(s) ;    RSS(kB);    PSS(kB);    Ref(kB)
1.002  ;   58104.00;   56600.00;   51484.00
1.002  ;   89748.00;   88244.00;   64336.00
1.003  ;  113284.00;  111780.00;   74320.00
1.003  ;  133672.00;  132168.00;   84316.00
1.003  ;  154972.00;  153468.00;   95440.00
1.003  ;  164568.00;  163064.00;   43592.00
1.004  ;  171420.00;  169916.00;   43992.00
1.004  ;  176976.00;  175472.00;   45616.00
1.004  ;  181636.00;  180132.00;   46768.00
1.004  ;  185684.00;  184180.00;   47664.00
1.004  ;  189700.00;  188196.00;   50588.00
1.004  ;  193456.00;  191952.00;   53316.00
1.004  ;  196820.00;  195316.00;   54644.00
1.004  ;  199944.00;  198440.00;   56464.00
1.004  ;  202932.00;  201428.00;   56688.00
1.004  ;  222284.00;  220780.00;   76944.00
1.004  ;  233668.00;  232164.00;   62536.00
1.005  ;  241460.00;  239956.00;   64236.00
1.005  ;  247612.00;  246108.00;   66364.00
1.005  ;  252840.00;  251336.00;   68064.00
1.005  ;  257688.00;  256184.00;   70544.00
1.005  ;  261860.00;  260356.00;   72144.00
1.005  ;  265788.00;  264284.00;   74872.00
1.005  ;  269700.00;  268196.00;   76920.00
1.005  ;  273348.00;  271844.00;   78716.00
1.006  ;  276648.00;  275144.00;   79640.00
1.006  ;  279644.00;  278140.00;   80904.00
1.006  ;  282644.00;  281140.00;   84004.00
1.006  ;  285580.00;  284076.00;   85224.00
1.006  ;  288336.00;  286832.00;   86248.00
1.006  ;  291380.00;  289876.00;   90208.00
1.006  ;  294184.00;  292680.00;   85992.00
1.006  ;  296788.00;  295284.00;   87112.00
1.006  ;  299584.00;  298080.00;   89444.00
1.006  ;  302108.00;  300604.00;   90800.00
1.006  ;  304604.00;  303100.00;   92088.00
1.006  ;  323252.00;  321748.00;  127924.00
1.006  ;  338540.00;  337036.00;   74192.00
1.006  ;  347868.00;  346364.00;   80528.00
1.007  ;  352828.00;  351324.00;  101220.00
1.006  ;  354824.00;  353320.00;   21568.00
1.006  ;  358000.00;  356496.00;   50836.00
1.006  ;  360108.00;  358604.00;   39196.00
1.006  ;  360112.00;  358608.00;   36304.00
1.006  ;  360112.00;  358608.00;   34156.00
1.006  ;  360112.00;  358608.00;   48720.00
1.006  ;  360112.00;  358608.00;   43504.00
1.006  ;  360112.00;  358608.00;   33924.00
1.007  ;  360112.00;  358608.00;   18140.00
1.006  ;  360112.00;  358608.00;   18124.00
1.006  ;  360112.00;  358608.00;   18460.00
1.007  ;  360112.00;  358608.00;   16752.00
1.006  ;  360112.00;  358608.00;   21096.00
1.007  ;  360112.00;  358608.00;   16224.00
