Watching PID 17135 page references for every 1 seconds...
Est(s) ;    RSS(kB);    PSS(kB);    Ref(kB)
1.004  ;  277332.00;  275433.00;  256580.00
1.006  ;  356976.00;  355077.00;  207132.00
1.007  ;  479600.00;  477701.00;  229336.00
1.008  ;  512268.00;  510369.00;  161468.00
1.008  ;  513976.00;  512077.00;   51404.00
1.008  ;  514040.00;  512141.00;   57468.00
1.008  ;  514040.00;  512141.00;   25236.00
1.008  ;  514196.00;  512297.00;  156096.00
1.008  ;  514196.00;  512297.00;   91516.00
1.008  ;  514196.00;  512297.00;   86380.00
1.008  ;  514196.00;  512297.00;   84568.00
1.008  ;  516036.00;  514137.00;   93996.00
1.008  ;  518384.00;  516485.00;   90404.00
1.008  ;  519452.00;  517553.00;   83120.00
1.008  ;  521932.00;  520033.00;   98796.00
1.008  ;  522512.00;  520613.00;   50616.00
1.008  ;  524268.00;  522369.00;   89204.00
1.008  ;  527312.00;  525413.00;  102720.00
1.008  ;  528276.00;  526377.00;   82816.00
1.008  ;  531800.00;  529901.00;  101400.00
1.008  ;  535132.00;  533233.00;   97840.00
1.008  ;  538928.00;  537029.00;   92924.00
1.009  ;  540480.00;  538581.00;   74248.00
1.009  ;  553300.00;  551401.00;  173336.00
1.009  ;  553300.00;  551401.00;  124820.00
1.009  ;  555208.00;  553309.00;  131432.00
1.009  ;  560500.00;  558601.00;  155168.00
1.009  ;  560500.00;  558601.00;  185496.00
1.009  ;  565264.00;  563365.00;  165964.00
1.009  ;  565264.00;  563365.00;   87436.00
1.008  ;  565264.00;  563365.00;   88024.00
1.009  ;  565264.00;  563365.00;   80648.00
1.009  ;  566068.00;  564169.00;  161672.00
1.009  ;  566068.00;  564169.00;  101924.00
1.009  ;  566068.00;  564169.00;  102548.00
1.009  ;  566068.00;  564169.00;  115940.00
1.009  ;  566068.00;  564169.00;  112472.00
1.009  ;  570788.00;  568889.00;   96808.00
1.009  ;  575692.00;  573793.00;  159908.00
1.009  ;  575692.00;  573793.00;   84944.00
1.009  ;  575692.00;  573793.00;   43732.00
1.009  ;  575692.00;  573793.00;   51588.00
1.009  ;  576084.00;  574185.00;   53884.00
1.009  ;  576356.00;  574457.00;   42568.00
1.009  ;  576788.00;  574889.00;   46812.00
1.009  ;  578736.00;  576837.00;  124468.00
1.009  ;  578736.00;  576837.00;   69628.00
1.009  ;  578736.00;  576837.00;   46960.00
1.009  ;  578736.00;  576837.00;   74424.00
1.009  ;  578736.00;  576837.00;   50412.00
1.009  ;  578736.00;  576837.00;   61496.00
1.009  ;  578952.00;  577053.00;   44940.00
1.009  ;  582292.00;  580393.00;   60408.00
1.009  ;  585652.00;  583753.00;  121836.00
1.008  ;  585652.00;  583753.00;   81208.00
1.009  ;  585652.00;  583753.00;   53820.00
1.010  ;  595228.00;  593329.00;  143004.00
1.009  ;  595548.00;  593649.00;  104912.00
1.009  ;  597136.00;  595237.00;   76756.00
1.009  ;  602336.00;  600437.00;  136284.00
1.009  ;  607496.00;  605597.00;  162244.00
1.009  ;  607496.00;  605597.00;   74960.00
1.009  ;  607496.00;  605597.00;   72292.00
1.009  ;  607496.00;  605597.00;   79640.00
1.009  ;  607496.00;  605597.00;   82696.00
1.010  ;  607496.00;  605597.00;   80832.00
1.009  ;  607496.00;  605597.00;   77656.00
1.009  ;  607496.00;  605597.00;   77452.00
1.009  ;  607496.00;  605597.00;   79684.00
1.009  ;  607496.00;  605597.00;   84552.00
1.009  ;  607496.00;  605597.00;   86572.00
1.009  ;  607496.00;  605597.00;   81040.00
1.009  ;  607496.00;  605597.00;   85984.00
1.010  ;  607496.00;  605597.00;   83336.00
1.009  ;  607496.00;  605597.00;   77088.00
1.009  ;  607496.00;  605597.00;   81112.00
1.009  ;  607496.00;  605597.00;   88408.00
1.010  ;  607496.00;  605597.00;   83488.00
1.010  ;  607496.00;  605597.00;   82528.00
1.010  ;  607496.00;  605597.00;   80236.00
1.009  ;  607496.00;  605597.00;   56436.00
1.009  ;  607496.00;  605597.00;   55484.00
