Watching PID 17899 page references for every 1 seconds...
Est(s) ;    RSS(kB);    PSS(kB);    Ref(kB)
1.007  ;  717712.00;  716134.00;  700744.00
1.010  ;  717732.00;  716154.00;  702836.00
1.008  ;  717732.00;  716154.00;  703340.00
1.008  ;  717732.00;  716154.00;  703932.00
1.008  ;  717736.00;  716158.00;  703616.00
1.008  ;  717736.00;  716158.00;  703960.00
1.008  ;  717740.00;  716162.00;  703068.00
1.008  ;  717740.00;  716162.00;  703088.00
1.008  ;  717756.00;  716178.00;  703668.00
1.008  ;  717756.00;  716178.00;  702624.00
1.008  ;  717756.00;  716178.00;  703260.00
1.008  ;  717756.00;  716178.00;  703896.00
1.008  ;  717768.00;  716190.00;  703788.00
1.008  ;  717768.00;  716190.00;  702348.00
1.008  ;  717768.00;  716190.00;  703328.00
1.008  ;  717768.00;  716190.00;  700716.00
1.008  ;  717768.00;  716190.00;  703016.00
1.008  ;  717768.00;  716190.00;  703616.00
1.008  ;  717768.00;  716190.00;  703876.00
1.008  ;  717768.00;  716190.00;  703088.00
1.008  ;  717768.00;  716190.00;  702668.00
1.008  ;  717768.00;  716190.00;  701868.00
1.008  ;  717768.00;  716190.00;  702660.00
1.008  ;  717768.00;  716190.00;  700796.00
1.008  ;  717768.00;  716190.00;  703240.00
1.008  ;  717768.00;  716190.00;  703156.00
1.008  ;  717768.00;  716190.00;  703496.00
1.008  ;  717768.00;  716190.00;  701744.00
1.008  ;  717768.00;  716190.00;  700312.00
1.008  ;  717832.00;  716199.00;  705124.00
1.008  ;  717832.00;  716199.00;  703784.00
1.008  ;  717832.00;  716199.00;  703712.00
1.008  ;  717832.00;  716199.00;  703796.00
1.008  ;  717832.00;  716199.00;  703924.00
1.008  ;  717832.00;  716199.00;  703392.00
1.008  ;  717832.00;  716199.00;  704344.00
1.008  ;  717832.00;  716199.00;  704220.00
1.008  ;  717832.00;  716199.00;  704208.00
1.008  ;  717832.00;  716199.00;  704116.00
1.008  ;  717832.00;  716199.00;  703984.00
1.008  ;  717832.00;  716199.00;  702496.00
1.008  ;  717832.00;  716199.00;  703916.00
1.008  ;  717832.00;  716199.00;  703840.00
1.008  ;  717832.00;  716199.00;  703620.00
1.008  ;  717832.00;  716199.00;  704076.00
1.008  ;  717832.00;  716199.00;  703720.00
1.008  ;  717832.00;  716199.00;  702776.00
1.008  ;  717832.00;  716199.00;  703824.00
1.008  ;  717832.00;  716199.00;  703876.00
1.008  ;  717832.00;  716199.00;  703980.00
1.008  ;  717832.00;  716199.00;  703836.00
1.008  ;  717832.00;  716199.00;  704156.00
1.008  ;  717832.00;  716199.00;  703892.00
1.008  ;  717832.00;  716199.00;  703692.00
1.008  ;  717832.00;  716199.00;  702008.00
1.008  ;  717832.00;  716199.00;  701596.00
1.008  ;  717832.00;  716199.00;  703680.00
1.008  ;  717832.00;  716199.00;  703328.00
1.008  ;  717832.00;  716199.00;  704400.00
1.008  ;  717832.00;  716199.00;  704064.00
1.008  ;  717832.00;  716199.00;  702420.00
1.008  ;  717832.00;  716199.00;  705064.00
1.008  ;  717832.00;  716199.00;  704008.00
1.008  ;  717832.00;  716199.00;  702276.00
1.011  ;  717832.00;  716199.00;  702864.00
1.010  ;  717832.00;  716199.00;  702436.00
1.008  ;  717832.00;  716199.00;  704036.00
1.008  ;  717832.00;  716199.00;  702616.00
1.008  ;  717832.00;  716199.00;  703496.00
1.008  ;  717832.00;  716199.00;  702756.00
1.008  ;  717832.00;  716199.00;  703912.00
1.008  ;  717832.00;  716199.00;  704168.00
1.008  ;  717832.00;  716199.00;  704244.00
1.008  ;  717832.00;  716199.00;  705040.00
1.008  ;  717832.00;  716199.00;  703440.00
1.008  ;  717832.00;  716199.00;  703556.00
1.008  ;  717832.00;  716199.00;  704180.00
1.008  ;  717832.00;  716199.00;  704172.00
1.008  ;  717832.00;  716199.00;  704332.00
1.008  ;  717832.00;  716199.00;  704136.00
