Watching PID 18662 page references for every 1 seconds...
Est(s) ;    RSS(kB);    PSS(kB);    Ref(kB)
1.001  ;    9440.00;    7803.00;    5068.00
1.001  ;    9576.00;    7939.00;    4896.00
1.001  ;    9660.00;    8023.00;    4492.00
1.001  ;    9868.00;    8231.00;    5828.00
1.001  ;    9828.00;    8191.00;    5704.00
1.001  ;    9828.00;    8191.00;    5732.00
1.001  ;    9976.00;    8339.00;    5808.00
1.001  ;   10156.00;    8519.00;    6056.00
1.001  ;   10192.00;    8555.00;    5172.00
1.001  ;   10240.00;    8603.00;    5208.00
1.001  ;   10288.00;    8651.00;    5844.00
1.001  ;   10308.00;    8671.00;    5304.00
1.001  ;   10356.00;    8719.00;    6320.00
1.001  ;   10680.00;    9043.00;    6640.00
1.001  ;   10732.00;    9095.00;    5948.00
1.001  ;   10744.00;    9107.00;    5796.00
1.001  ;   10684.00;    9047.00;    6328.00
1.001  ;   10880.00;    9243.00;    6208.00
1.001  ;   10900.00;    9263.00;    5764.00
1.001  ;   10932.00;    9295.00;    5552.00
1.001  ;   10948.00;    9311.00;    5840.00
1.001  ;   10972.00;    9335.00;    5584.00
1.001  ;   10976.00;    9339.00;    6356.00
1.001  ;   11008.00;    9371.00;    5652.00
1.001  ;   11040.00;    9403.00;    6000.00
1.001  ;   11052.00;    9415.00;    5556.00
1.001  ;   11084.00;    9447.00;    5752.00
1.001  ;   11136.00;    9499.00;    6744.00
1.001  ;   11140.00;    9503.00;    5884.00
1.001  ;   11452.00;    9815.00;    6776.00
1.001  ;   11468.00;    9831.00;    7044.00
1.001  ;   11528.00;    9891.00;    6680.00
1.001  ;   11584.00;    9947.00;    7036.00
1.001  ;   11956.00;   10319.00;    7184.00
1.001  ;   12548.00;   10911.00;    6644.00
1.001  ;   12592.00;   10955.00;    6756.00
1.001  ;   12640.00;   11003.00;    6692.00
1.001  ;   12704.00;   11067.00;    7104.00
1.001  ;   12784.00;   11147.00;    6888.00
1.001  ;   12832.00;   11195.00;    7176.00
1.001  ;   12864.00;   11227.00;    7128.00
1.001  ;   13040.00;   11403.00;    7028.00
1.001  ;   13048.00;   11411.00;    8028.00
1.001  ;   13048.00;   11411.00;    4912.00
1.001  ;   13048.00;   11411.00;    5464.00
1.001  ;   13048.00;   11411.00;    4704.00
1.001  ;   13048.00;   11411.00;    5920.00
1.001  ;   13048.00;   11411.00;    5336.00
1.001  ;   13048.00;   11411.00;    4700.00
1.001  ;   13048.00;   11411.00;    6072.00
1.001  ;   13048.00;   11411.00;    5560.00
1.001  ;   13048.00;   11411.00;    5352.00
1.001  ;   13048.00;   11411.00;    4852.00
1.001  ;   13048.00;   11411.00;    4628.00
1.001  ;   13048.00;   11411.00;    5704.00
1.001  ;   13048.00;   11411.00;    5148.00
1.001  ;   13048.00;   11411.00;    4968.00
1.001  ;   13048.00;   11411.00;    5780.00
1.001  ;   13048.00;   11411.00;    5176.00
1.001  ;   13048.00;   11411.00;    5740.00
1.001  ;   13048.00;   11411.00;    5368.00
1.001  ;   13048.00;   11411.00;    5760.00
1.001  ;   13048.00;   11411.00;    5264.00
1.001  ;   13048.00;   11411.00;    5396.00
1.001  ;   13048.00;   11411.00;    6296.00
1.001  ;   13048.00;   11411.00;    5824.00
1.001  ;   13048.00;   11411.00;    5800.00
1.001  ;   13048.00;   11411.00;    6516.00
1.001  ;   13048.00;   11411.00;    5916.00
1.001  ;   13048.00;   11411.00;    6040.00
1.001  ;   13048.00;   11411.00;    6304.00
1.001  ;   13048.00;   11411.00;    6004.00
1.001  ;   13048.00;   11411.00;    6844.00
1.001  ;   13048.00;   11411.00;    6196.00
1.001  ;   13048.00;   11411.00;    7144.00
1.001  ;   13048.00;   11411.00;    6924.00
1.001  ;   13048.00;   11411.00;    7072.00
