Watching PID 8652 page references for every 1 seconds...
Est(s) ;    RSS(kB);    PSS(kB);    Ref(kB)
1.002  ;   49868.00;   48057.00;   18676.00
1.002  ;   49868.00;   48057.00;   13916.00
1.002  ;   49868.00;   48057.00;   18412.00
1.002  ;   49868.00;   48057.00;   22744.00
1.002  ;   49868.00;   48057.00;   18468.00
1.002  ;   49868.00;   48057.00;   20164.00
1.002  ;   49868.00;   48057.00;   18416.00
1.002  ;   49868.00;   48057.00;   18416.00
1.002  ;   49868.00;   48057.00;   18428.00
1.002  ;   49868.00;   48057.00;   18412.00
1.002  ;   49868.00;   48057.00;   18448.00
1.002  ;   49868.00;   48057.00;   20048.00
1.002  ;   49868.00;   48057.00;   17836.00
1.002  ;   49868.00;   48057.00;   18296.00
1.002  ;   49868.00;   48057.00;   18444.00
1.002  ;   49868.00;   48057.00;   18420.00
1.002  ;   49868.00;   48057.00;   18436.00
1.002  ;   49868.00;   48057.00;   20052.00
1.001  ;   49868.00;   48057.00;   17780.00
1.002  ;   49868.00;   48057.00;   18264.00
1.002  ;   49868.00;   48057.00;   18460.00
1.002  ;   49868.00;   48057.00;   18416.00
1.002  ;   49868.00;   48057.00;   18456.00
1.002  ;   49868.00;   48057.00;   20032.00
1.002  ;   49868.00;   48057.00;   17812.00
1.001  ;   49868.00;   48057.00;   17524.00
1.002  ;   49868.00;   48057.00;   18472.00
1.002  ;   49868.00;   48057.00;   17792.00
1.002  ;   49868.00;   48057.00;   18364.00
1.002  ;   49868.00;   48057.00;   20092.00
1.002  ;   49868.00;   48057.00;   18452.00
1.002  ;   49868.00;   48057.00;   13796.00
1.002  ;   49868.00;   48057.00;   22800.00
1.002  ;   49868.00;   48057.00;   18424.00
1.002  ;   49868.00;   48057.00;   18440.00
1.002  ;   49868.00;   48057.00;   20060.00
1.002  ;   49868.00;   48057.00;   18424.00
1.002  ;   49868.00;   48057.00;   18444.00
1.002  ;   49868.00;   48057.00;   18424.00
1.002  ;   49868.00;   48057.00;   18440.00
1.002  ;   49868.00;   48057.00;   18456.00
1.002  ;   49868.00;   48057.00;   20108.00
1.002  ;   49868.00;   48057.00;   18216.00
1.002  ;   49868.00;   48057.00;   18200.00
1.002  ;   49868.00;   48057.00;   18432.00
1.002  ;   49868.00;   48057.00;   18424.00
1.002  ;   49868.00;   48057.00;   18436.00
1.002  ;   49868.00;   48057.00;   20036.00
1.002  ;   49868.00;   48057.00;   18036.00
1.002  ;   49868.00;   48057.00;   18372.00
1.002  ;   49868.00;   48057.00;   18440.00
1.002  ;   49868.00;   48057.00;   18452.00
1.002  ;   49868.00;   48057.00;   18428.00
1.002  ;   49868.00;   48057.00;   20056.00
1.002  ;   49868.00;   48057.00;   18112.00
1.002  ;   49868.00;   48057.00;   18432.00
1.002  ;   49868.00;   48057.00;   18472.00
1.002  ;   49868.00;   48057.00;   18400.00
1.002  ;   49868.00;   48057.00;   18440.00
1.002  ;   49868.00;   48057.00;   20024.00
1.002  ;   49868.00;   48057.00;   18168.00
1.002  ;   49868.00;   48057.00;   18428.00
1.002  ;   49868.00;   48057.00;   18412.00
1.002  ;   49868.00;   48057.00;   18424.00
1.002  ;   49868.00;   48057.00;   24432.00
1.002  ;   49868.00;   48057.00;   18420.00
1.002  ;   49868.00;   48057.00;   13792.00
1.002  ;   49868.00;   48057.00;   22804.00
1.002  ;   49868.00;   48057.00;   18428.00
1.002  ;   49868.00;   48057.00;   18436.00
1.002  ;   49868.00;   48057.00;   20072.00
1.002  ;   49868.00;   48057.00;   18432.00
1.002  ;   49868.00;   48057.00;   18424.00
