Watching PID 13842 page references for every 1 seconds...
Est(s) ;    RSS(kB);    PSS(kB);    Ref(kB)
1.001  ;   13504.00;   11743.00;   10268.00
1.001  ;   10124.00;    8363.00;    6488.00
1.001  ;   10404.00;    8643.00;    6764.00
1.001  ;   21436.00;   19675.00;   17488.00
1.001  ;   10544.00;    8783.00;    6896.00
1.001  ;   25876.00;   24115.00;   21828.00
1.001  ;   23384.00;   21623.00;    9036.00
1.002  ;   36796.00;   35035.00;   32716.00
1.001  ;   23512.00;   21751.00;    5948.00
1.001  ;   23512.00;   21751.00;    6796.00
1.001  ;   39456.00;   37695.00;   35044.00
1.002  ;   50856.00;   49095.00;   46184.00
1.002  ;   23512.00;   21751.00;    6564.00
1.001  ;   23512.00;   21751.00;    6064.00
1.001  ;   23512.00;   21751.00;    5476.00
1.002  ;   70304.00;   68543.00;   65352.00
1.002  ;   70304.00;   68543.00;   15112.00
1.002  ;   23512.00;   21751.00;    7520.00
1.001  ;   23512.00;   21751.00;    7120.00
1.001  ;   23512.00;   21751.00;    4156.00
1.002  ;   60600.00;   58839.00;   56484.00
1.002  ;   89116.00;   87355.00;   83448.00
1.002  ;   89116.00;   87355.00;   12648.00
1.002  ;   23512.00;   21751.00;    7764.00
1.001  ;   23512.00;   21751.00;   10680.00
1.001  ;   23512.00;   21751.00;    1412.00
1.001  ;   23512.00;   21751.00;    9000.00
1.002  ;   74680.00;   72919.00;   69232.00
1.002  ;  103624.00;  101863.00;   97576.00
1.002  ;  103624.00;  101863.00;   13812.00
1.002  ;   23512.00;   21751.00;    8728.00
1.001  ;   23512.00;   21751.00;   11896.00
1.001  ;   23512.00;   21751.00;    1924.00
1.001  ;   23512.00;   21751.00;     920.00
1.001  ;   23512.00;   21751.00;   10280.00
1.002  ;  133676.00;  131915.00;  127944.00
1.003  ;  133676.00;  131915.00;   12120.00
1.003  ;  133676.00;  131915.00;   16652.00
1.003  ;  133676.00;  131915.00;   27040.00
1.002  ;   23512.00;   21751.00;    9252.00
1.001  ;   23512.00;   21751.00;   10852.00
1.001  ;   23512.00;   21751.00;    2132.00
1.001  ;   23512.00;   21751.00;    3636.00
1.001  ;   23512.00;   21751.00;   13756.00
1.002  ;   37200.00;   35439.00;   30876.00
1.003  ;  137556.00;  135795.00;  129964.00
1.003  ;  184112.00;  182351.00;  174616.00
1.004  ;  184112.00;  182351.00;   15628.00
1.003  ;  184112.00;  182351.00;   20892.00
1.004  ;  184112.00;  182351.00;   39340.00
1.002  ;   23512.00;   21751.00;   10724.00
1.001  ;   23512.00;   21751.00;    4560.00
1.001  ;   23512.00;   21751.00;   14956.00
1.001  ;   23512.00;   21751.00;    3884.00
1.001  ;   23512.00;   21751.00;    2464.00
1.002  ;   23512.00;   21751.00;    2304.00
1.002  ;   23512.00;   21751.00;     652.00
1.001  ;   23512.00;   21751.00;   16568.00
1.001  ;   23512.00;   21751.00;   10364.00
1.003  ;  161584.00;  159823.00;  153512.00
