Watching PID 18928 page references for every 1 seconds...
Est(s) ;    RSS(kB);    PSS(kB);    Ref(kB)
1.002  ;  153812.00;  152098.00;  149392.00
1.003  ;  194296.00;  192582.00;  123292.00
1.003  ;  201212.00;  199498.00;   66016.00
1.003  ;  203724.00;  202010.00;   71748.00
1.003  ;  203916.00;  202202.00;   61420.00
1.003  ;  204068.00;  202354.00;   67828.00
1.003  ;  204236.00;  202522.00;   72324.00
1.003  ;  204320.00;  202606.00;   62564.00
1.003  ;  204492.00;  202778.00;   63528.00
1.003  ;  204548.00;  202834.00;   61888.00
1.003  ;  204592.00;  202878.00;   64312.00
1.003  ;  204620.00;  202906.00;   62288.00
1.003  ;  204668.00;  202954.00;   65652.00
1.003  ;  206216.00;  204502.00;   64920.00
1.003  ;  206240.00;  204526.00;   64292.00
1.003  ;  206276.00;  204562.00;   63256.00
1.003  ;  206308.00;  204594.00;   64940.00
1.003  ;  206328.00;  204614.00;   64828.00
1.003  ;  206368.00;  204654.00;   66948.00
1.003  ;  206392.00;  204678.00;   64660.00
1.003  ;  206416.00;  204702.00;   66392.00
1.003  ;  206432.00;  204718.00;   67332.00
1.003  ;  206452.00;  204738.00;   65272.00
1.003  ;  206460.00;  204746.00;   65036.00
1.003  ;  206484.00;  204770.00;   65264.00
1.003  ;  206512.00;  204798.00;   65776.00
1.003  ;  206668.00;  204954.00;   69888.00
1.003  ;  206720.00;  205006.00;   70280.00
1.003  ;  206744.00;  205030.00;   69208.00
1.003  ;  206756.00;  205042.00;   67620.00
1.003  ;  206812.00;  205098.00;   71316.00
1.003  ;  206844.00;  205130.00;   74324.00
1.003  ;  206844.00;  205130.00;   72460.00
1.003  ;  206844.00;  205130.00;   73080.00
1.003  ;  208268.00;  206554.00;   74780.00
1.003  ;  208292.00;  206578.00;   70848.00
1.003  ;  208308.00;  206594.00;   72904.00
1.003  ;  208324.00;  206610.00;   70752.00
1.003  ;  208348.00;  206634.00;   71328.00
1.003  ;  208360.00;  206646.00;   75256.00
1.003  ;  208372.00;  206658.00;   73292.00
1.003  ;  208384.00;  206670.00;   71308.00
1.003  ;  208416.00;  206702.00;   70984.00
1.003  ;  208456.00;  206742.00;   75844.00
1.003  ;  208464.00;  206750.00;   73420.00
1.003  ;  208480.00;  206766.00;   71448.00
1.003  ;  208484.00;  206770.00;   69596.00
1.003  ;  208488.00;  206774.00;   68016.00
1.003  ;  208488.00;  206774.00;   66840.00
1.003  ;  208500.00;  206786.00;   70712.00
1.003  ;  208520.00;  206806.00;   70580.00
1.003  ;  208536.00;  206822.00;   76068.00
1.003  ;  208560.00;  206846.00;   69816.00
1.003  ;  208576.00;  206862.00;   74744.00
1.003  ;  208596.00;  206882.00;   74076.00
1.003  ;  208616.00;  206902.00;   70688.00
1.003  ;  208636.00;  206922.00;   68380.00
1.003  ;  208644.00;  206930.00;   69828.00
1.003  ;  208656.00;  206942.00;   71636.00
1.003  ;  208660.00;  206946.00;   71600.00
1.003  ;  208668.00;  206954.00;   70560.00
1.003  ;  208692.00;  206978.00;   75932.00
1.003  ;  208692.00;  206978.00;   73144.00
1.003  ;  208692.00;  206978.00;   71060.00
1.003  ;  208696.00;  206982.00;   71708.00
1.003  ;  208700.00;  206986.00;   72956.00
1.003  ;  208700.00;  206986.00;   76292.00
1.003  ;  208720.00;  207006.00;   75276.00
1.003  ;  208744.00;  207030.00;   75300.00
1.003  ;  208776.00;  207062.00;   76128.00
1.003  ;  210308.00;  208594.00;   83080.00
1.003  ;  210324.00;  208610.00;   86136.00
1.003  ;  210336.00;  208622.00;   85356.00
1.003  ;  210344.00;  208630.00;   86636.00
1.003  ;  210344.00;  208630.00;   83876.00
1.002  ;  210352.00;  208638.00;   85024.00
1.003  ;  211872.00;  210158.00;   86820.00
1.003  ;  211884.00;  210170.00;   85480.00
1.003  ;  211888.00;  210174.00;   83832.00
1.003  ;  211888.00;  210174.00;   85428.00
1.003  ;  211916.00;  210202.00;   88732.00
1.003  ;  211928.00;  210214.00;   89864.00
1.003  ;  211936.00;  210222.00;   89976.00
1.003  ;  211936.00;  210222.00;   82884.00
1.003  ;  211936.00;  210222.00;   88720.00
1.003  ;  211936.00;  210222.00;   84472.00
1.003  ;  211936.00;  210222.00;   84784.00
1.003  ;  211936.00;  210222.00;   80856.00
1.003  ;  211936.00;  210222.00;   82404.00
1.003  ;  213032.00;  211318.00;   90984.00
1.003  ;  213056.00;  211342.00;   85348.00
1.003  ;  213076.00;  211362.00;   79508.00
1.003  ;  213076.00;  211362.00;   75464.00
1.003  ;  213088.00;  211374.00;   79064.00
