Watching PID 23994 page references for every 1 seconds...
Est(s) ;    RSS(kB);    PSS(kB);    Ref(kB)
1.001  ;    7512.00;    5726.00;    1272.00
1.001  ;    7512.00;    5726.00;     344.00
1.001  ;    7512.00;    5726.00;      56.00
1.000  ;    7512.00;    5726.00;    1304.00
1.001  ;    7512.00;    5726.00;      12.00
1.001  ;    7512.00;    5726.00;       8.00
1.001  ;    7512.00;    5726.00;    1612.00
1.001  ;    7520.00;    5734.00;    1760.00
1.001  ;    7520.00;    5734.00;    1768.00
1.001  ;    7520.00;    5734.00;      84.00
1.001  ;    7520.00;    5734.00;    1784.00
1.001  ;    7520.00;    5734.00;    1780.00
1.000  ;    7520.00;    5734.00;    1784.00
1.001  ;    7520.00;    5734.00;     604.00
1.001  ;    7520.00;    5734.00;    1784.00
1.001  ;    7520.00;    5734.00;      12.00
1.001  ;    7520.00;    5734.00;      36.00
1.001  ;    7520.00;    5734.00;       8.00
1.001  ;    7520.00;    5734.00;    1784.00
1.001  ;    7520.00;    5734.00;     124.00
1.001  ;    7520.00;    5734.00;      48.00
1.001  ;    7520.00;    5734.00;      44.00
1.001  ;    7520.00;    5734.00;      48.00
1.001  ;    7520.00;    5734.00;    1784.00
1.001  ;    7520.00;    5734.00;    1792.00
1.001  ;    7520.00;    5734.00;      20.00
1.001  ;    7520.00;    5734.00;      68.00
1.001  ;    7520.00;    5734.00;      64.00
1.001  ;    7520.00;    5734.00;     276.00
1.001  ;    7520.00;    5734.00;       0.00
1.001  ;    7520.00;    5734.00;      28.00
1.001  ;    7520.00;    5734.00;      60.00
1.001  ;    7520.00;    5734.00;     112.00
1.001  ;    7520.00;    5734.00;    1788.00
1.001  ;    7520.00;    5734.00;      16.00
1.001  ;    7520.00;    5734.00;      16.00
1.001  ;    7520.00;    5734.00;    1788.00
1.001  ;    7520.00;    5734.00;    1788.00
1.001  ;    7520.00;    5734.00;      48.00
1.001  ;    7520.00;    5734.00;    1788.00
1.001  ;    7520.00;    5734.00;    1268.00
1.001  ;    7520.00;    5734.00;    1788.00
1.001  ;    7520.00;    5734.00;      28.00
1.001  ;    7520.00;    5734.00;    1796.00
1.001  ;    7520.00;    5734.00;     424.00
1.001  ;    7520.00;    5734.00;     648.00
1.001  ;    7520.00;    5734.00;     240.00
1.001  ;    7520.00;    5734.00;     592.00
1.001  ;    7520.00;    5734.00;    1268.00
1.001  ;    7520.00;    5734.00;    1036.00
1.001  ;    7520.00;    5734.00;    1344.00
1.001  ;    7520.00;    5734.00;     764.00
1.001  ;    7520.00;    5734.00;     212.00
1.001  ;    7520.00;    5734.00;     680.00
1.001  ;    7520.00;    5734.00;     528.00
1.001  ;    7520.00;    5734.00;    1788.00
1.001  ;    7520.00;    5734.00;      16.00
1.001  ;    7520.00;    5734.00;      20.00
1.001  ;    7520.00;    5734.00;      48.00
1.001  ;    7520.00;    5734.00;      72.00
1.001  ;    7520.00;    5734.00;      72.00
1.001  ;    7520.00;    5734.00;      84.00
1.001  ;    7520.00;    5734.00;      52.00
1.001  ;    7520.00;    5734.00;      72.00
1.001  ;    7520.00;    5734.00;      56.00
1.001  ;    7520.00;    5734.00;      76.00
1.001  ;    7520.00;    5734.00;      64.00
1.001  ;    7520.00;    5734.00;      40.00
1.001  ;    7520.00;    5734.00;     424.00
1.001  ;    7520.00;    5734.00;      48.00
1.001  ;    7520.00;    5734.00;      64.00
1.001  ;    7520.00;    5734.00;      52.00
1.001  ;    7520.00;    5734.00;     120.00
1.001  ;    7520.00;    5734.00;      20.00
1.001  ;    7520.00;    5734.00;    1796.00
1.001  ;    7520.00;    5734.00;      16.00
1.001  ;    7520.00;    5734.00;      16.00
1.001  ;    7520.00;    5734.00;       0.00
1.001  ;    7520.00;    5734.00;    1788.00
1.001  ;    7520.00;    5734.00;       4.00
1.001  ;    7520.00;    5734.00;      24.00
1.001  ;    7520.00;    5734.00;      16.00
1.001  ;    7520.00;    5734.00;     852.00
1.001  ;    7520.00;    5734.00;    1788.00
1.001  ;    7520.00;    5734.00;    1540.00
1.001  ;    7520.00;    5734.00;     332.00
1.001  ;    7520.00;    5734.00;    1140.00
1.001  ;    7520.00;    5734.00;     260.00
1.001  ;    7520.00;    5734.00;    1780.00
1.001  ;    7520.00;    5734.00;    1656.00
1.001  ;    7520.00;    5734.00;     832.00
1.001  ;    7520.00;    5734.00;     540.00
1.001  ;    7520.00;    5734.00;    1776.00
1.001  ;    7520.00;    5734.00;     320.00
1.001  ;    7520.00;    5734.00;     180.00
1.001  ;    7520.00;    5734.00;     472.00
1.001  ;    7520.00;    5734.00;     632.00
1.001  ;    7520.00;    5734.00;    1784.00
1.001  ;    7520.00;    5734.00;     372.00
1.001  ;    7520.00;    5734.00;     664.00
1.001  ;    7520.00;    5734.00;    1780.00
1.001  ;    7520.00;    5734.00;     680.00
1.001  ;    7520.00;    5734.00;     160.00
1.001  ;    7520.00;    5734.00;    1628.00
1.001  ;    7520.00;    5734.00;     532.00
1.001  ;    7520.00;    5734.00;    1540.00
1.001  ;    7520.00;    5734.00;     524.00
1.001  ;    7520.00;    5734.00;    1608.00
1.001  ;    7520.00;    5734.00;     756.00
1.001  ;    7520.00;    5734.00;    1572.00
1.001  ;    7520.00;    5734.00;     432.00
1.001  ;    7520.00;    5734.00;    1504.00
1.001  ;    7520.00;    5734.00;     544.00
1.001  ;    7520.00;    5734.00;    1788.00
1.001  ;    7520.00;    5734.00;     300.00
1.001  ;    7520.00;    5734.00;     256.00
1.001  ;    7520.00;    5734.00;    1772.00
1.001  ;    7520.00;    5734.00;     100.00
1.001  ;    7520.00;    5734.00;     632.00
1.001  ;    7520.00;    5734.00;    1500.00
