Watching PID 29030 page references for every 1 seconds...
Est(s) ;    RSS(kB);    PSS(kB);    Ref(kB)
1.002  ;  105016.00;  103380.00;   98604.00
1.003  ;  145844.00;  144195.00;  135004.00
1.003  ;  167732.00;  165973.00;  137780.00
1.003  ;  172832.00;  171061.00;  169172.00
1.003  ;  173328.00;  171557.00;  153532.00
1.004  ;  173416.00;  171645.00;  153740.00
1.004  ;  173968.00;  172197.00;  153828.00
1.004  ;  173968.00;  172197.00;  153036.00
1.004  ;  174168.00;  172397.00;  153472.00
1.004  ;  174168.00;  172397.00;  153700.00
1.004  ;  174168.00;  172397.00;  151064.00
1.004  ;  174168.00;  172397.00;  149572.00
1.004  ;  174168.00;  172397.00;  148720.00
1.004  ;  174168.00;  172397.00;  151820.00
1.004  ;  174168.00;  172397.00;  152908.00
1.004  ;  174168.00;  172397.00;  153956.00
1.004  ;  174624.00;  172853.00;  154412.00
1.004  ;  174680.00;  172909.00;  154408.00
1.004  ;  174720.00;  172949.00;  152036.00
1.004  ;  174720.00;  172949.00;  150752.00
1.004  ;  174720.00;  172949.00;  148588.00
1.004  ;  174720.00;  172949.00;  149264.00
1.004  ;  174720.00;  172949.00;  154272.00
1.004  ;  174720.00;  172949.00;  147960.00
1.004  ;  174720.00;  172949.00;  148928.00
1.004  ;  174720.00;  172949.00;  149340.00
1.004  ;  174720.00;  172949.00;  147808.00
1.004  ;  174720.00;  172949.00;  147188.00
1.003  ;  174720.00;  172949.00;  149744.00
1.004  ;  174720.00;  172949.00;  148372.00
1.004  ;  174720.00;  172949.00;  147812.00
1.004  ;  174720.00;  172949.00;  148792.00
1.004  ;  174720.00;  172949.00;  148036.00
1.004  ;  174720.00;  172949.00;  147364.00
1.004  ;  174720.00;  172949.00;  148588.00
1.004  ;  174720.00;  172949.00;  148776.00
1.004  ;  174720.00;  172949.00;  148252.00
1.004  ;  174788.00;  173017.00;  147896.00
1.004  ;  174788.00;  173017.00;  147876.00
1.004  ;  174788.00;  173017.00;  147316.00
1.004  ;  174788.00;  173017.00;  148012.00
1.004  ;  174788.00;  173017.00;  148144.00
1.004  ;  174788.00;  173017.00;  147404.00
1.004  ;  174788.00;  173017.00;  147860.00
1.004  ;  174808.00;  173037.00;  148012.00
1.004  ;  174808.00;  173037.00;  147960.00
1.004  ;  174808.00;  173037.00;  148736.00
1.004  ;  174808.00;  173037.00;  154168.00
1.004  ;  174828.00;  173057.00;  147804.00
1.004  ;  174840.00;  173069.00;  147920.00
1.004  ;  174840.00;  173069.00;  148580.00
1.004  ;  174840.00;  173069.00;  148476.00
1.004  ;  174840.00;  173069.00;  148200.00
1.004  ;  174840.00;  173069.00;  147800.00
1.004  ;  174840.00;  173069.00;  147792.00
1.004  ;  174840.00;  173069.00;  148304.00
1.004  ;  174840.00;  173069.00;  147484.00
1.004  ;  174840.00;  173069.00;  148204.00
1.004  ;  174840.00;  173069.00;  148868.00
1.004  ;  174840.00;  173069.00;  148116.00
1.004  ;  174912.00;  173141.00;  148364.00
1.004  ;  174912.00;  173141.00;  147964.00
1.004  ;  174912.00;  173141.00;  149344.00
1.004  ;  174972.00;  173201.00;  148872.00
1.004  ;  174972.00;  173201.00;  148620.00
1.004  ;  174972.00;  173201.00;  148976.00
1.004  ;  174972.00;  173201.00;  149336.00
1.004  ;  174972.00;  173201.00;  149216.00
1.004  ;  175132.00;  173361.00;  148756.00
1.004  ;  175132.00;  173361.00;  148680.00
1.004  ;  175132.00;  173361.00;  148520.00
1.004  ;  175132.00;  173361.00;  149400.00
1.004  ;  175132.00;  173361.00;  149244.00
1.004  ;  175132.00;  173361.00;  148768.00
1.004  ;  175140.00;  173369.00;  149272.00
1.004  ;  175140.00;  173369.00;  149268.00
1.004  ;  175140.00;  173369.00;  154804.00
1.004  ;  175152.00;  173381.00;  147392.00
1.004  ;  175152.00;  173381.00;  148860.00
1.004  ;  175200.00;  173429.00;  148816.00
1.004  ;  175224.00;  173453.00;  151824.00
1.004  ;  175224.00;  173453.00;  149280.00
1.004  ;  175224.00;  173453.00;  150696.00
1.004  ;  175224.00;  173453.00;  148952.00
1.004  ;  175224.00;  173453.00;  149560.00
1.004  ;  175224.00;  173453.00;  150400.00
1.004  ;  175224.00;  173453.00;  155108.00
1.004  ;  175372.00;  173601.00;  155112.00
1.004  ;  175372.00;  173601.00;  148656.00
1.004  ;  175372.00;  173601.00;  149612.00
1.004  ;  175372.00;  173601.00;  150340.00
1.004  ;  175400.00;  173629.00;  150960.00
1.004  ;  175400.00;  173629.00;  147772.00
1.004  ;  175400.00;  173629.00;  150788.00
1.004  ;  175400.00;  173629.00;  149076.00
1.004  ;  175400.00;  173629.00;  150228.00
1.004  ;  175524.00;  173753.00;  155212.00
1.004  ;  175524.00;  173753.00;  152548.00
1.003  ;  175560.00;  173789.00;  150416.00
1.004  ;  175560.00;  173789.00;  149652.00
1.004  ;  175560.00;  173789.00;  149900.00
1.004  ;  175560.00;  173789.00;  148364.00
1.004  ;  175560.00;  173789.00;  148604.00
1.004  ;  175560.00;  173789.00;  149452.00
1.004  ;  175560.00;  173789.00;  150500.00
1.004  ;  175560.00;  173789.00;  148208.00
1.004  ;  175560.00;  173789.00;  149604.00
1.004  ;  175752.00;  173981.00;  147708.00
1.004  ;  175752.00;  173981.00;  150164.00
1.004  ;  175752.00;  173981.00;  150520.00
1.004  ;  175752.00;  173981.00;  148744.00
1.004  ;  175984.00;  174213.00;  155800.00
1.004  ;  175984.00;  174213.00;  155764.00
1.004  ;  175984.00;  174213.00;  149704.00
1.004  ;  176012.00;  174241.00;  150300.00
1.004  ;  176012.00;  174241.00;  150112.00
1.004  ;  176028.00;  174257.00;  147896.00
1.004  ;  176028.00;  174257.00;  149808.00
1.004  ;  176028.00;  174257.00;  150396.00
1.004  ;  176028.00;  174257.00;  149304.00
1.004  ;  176028.00;  174257.00;  150316.00
1.004  ;  176028.00;  174257.00;  149964.00
1.004  ;  176028.00;  174257.00;  149184.00
1.004  ;  176028.00;  174257.00;  150096.00
1.004  ;  176028.00;  174257.00;  148852.00
1.004  ;  176028.00;  174257.00;  148584.00
1.004  ;  176028.00;  174257.00;  149816.00
1.004  ;  176028.00;  174257.00;  148980.00
1.004  ;  176064.00;  174293.00;  150040.00
1.004  ;  176064.00;  174293.00;  149872.00
1.004  ;  176064.00;  174293.00;  149572.00
1.004  ;  176064.00;  174293.00;  149232.00
1.004  ;  176108.00;  174337.00;  148372.00
1.004  ;  176108.00;  174337.00;  148572.00
1.004  ;  176108.00;  174337.00;  150076.00
1.004  ;  176108.00;  174337.00;  149948.00
1.004  ;  176144.00;  174373.00;  148808.00
1.004  ;  176144.00;  174373.00;  149244.00
1.004  ;  176372.00;  174601.00;  150048.00
1.004  ;  176372.00;  174601.00;  149864.00
1.004  ;  176372.00;  174601.00;  150132.00
1.003  ;  176372.00;  174601.00;  148772.00
1.004  ;  176372.00;  174601.00;  149608.00
1.004  ;  176372.00;  174601.00;  149684.00
1.004  ;  176372.00;  174601.00;  149888.00
1.004  ;  176372.00;  174601.00;  149944.00
1.004  ;  176372.00;  174601.00;  149664.00
1.004  ;  176404.00;  174633.00;  149744.00
1.004  ;  176404.00;  174633.00;  149148.00
1.004  ;  176404.00;  174633.00;  150092.00
1.004  ;  176404.00;  174633.00;  150708.00
1.004  ;  176404.00;  174633.00;  155904.00
1.004  ;  176460.00;  174689.00;  149420.00
1.004  ;  176460.00;  174689.00;  149164.00
1.004  ;  176636.00;  174865.00;  150672.00
1.004  ;  176636.00;  174865.00;  149940.00
1.004  ;  176636.00;  174865.00;  150396.00
1.004  ;  176636.00;  174865.00;  150260.00
1.004  ;  176672.00;  174901.00;  149788.00
1.004  ;  176672.00;  174901.00;  150032.00
1.004  ;  176672.00;  174901.00;  149576.00
1.004  ;  176672.00;  174901.00;  151224.00
1.003  ;  176672.00;  174901.00;  148384.00
1.004  ;  176672.00;  174901.00;  149588.00
1.003  ;  176672.00;  174901.00;  150020.00
1.004  ;  176996.00;  175225.00;  149620.00
1.004  ;  176996.00;  175225.00;  149940.00
1.004  ;  176996.00;  175225.00;  151256.00
1.004  ;  176996.00;  175225.00;  151624.00
1.004  ;  176996.00;  175225.00;  150380.00
1.004  ;  176996.00;  175225.00;  150296.00
1.004  ;  176996.00;  175225.00;  150448.00
1.004  ;  176996.00;  175225.00;  149716.00
1.004  ;  176996.00;  175225.00;  149528.00
1.004  ;  176996.00;  175225.00;  149848.00
1.004  ;  176996.00;  175225.00;  149252.00
1.004  ;  177224.00;  175453.00;  157016.00
1.004  ;  177224.00;  175453.00;  150340.00
1.004  ;  177224.00;  175453.00;  156736.00
