Watching PID 33914 page references for every 1 seconds...
Est(s) ;    RSS(kB);    PSS(kB);    Ref(kB)
1.006  ;  608120.00;  606437.00;  531172.00
1.007  ;  610832.00;  609149.00;  453276.00
1.008  ;  610912.00;  609172.00;  572140.00
1.007  ;  610912.00;  609172.00;   74660.00
1.007  ;  610912.00;  609172.00;   74572.00
1.007  ;  610912.00;  609172.00;   74644.00
1.007  ;  610912.00;  609172.00;   74516.00
1.007  ;  610912.00;  609172.00;   74720.00
1.007  ;  610912.00;  609172.00;   74776.00
1.007  ;  610912.00;  609172.00;   74720.00
1.007  ;  610912.00;  609172.00;   74592.00
1.007  ;  610912.00;  609172.00;   74840.00
1.007  ;  610912.00;  609172.00;   74792.00
1.007  ;  610912.00;  609172.00;   74756.00
1.007  ;  610912.00;  609172.00;   74684.00
1.007  ;  610912.00;  609172.00;   74648.00
1.007  ;  610912.00;  609172.00;   74832.00
1.007  ;  610912.00;  609172.00;   74828.00
1.008  ;  610912.00;  609172.00;  384184.00
1.008  ;  610912.00;  609172.00;  310156.00
1.008  ;  610912.00;  609172.00;  310160.00
1.008  ;  610912.00;  609172.00;  310156.00
1.007  ;  610912.00;  609172.00;  310156.00
1.008  ;  610912.00;  609172.00;  310164.00
1.008  ;  610912.00;  609172.00;  310156.00
1.007  ;  610912.00;  609172.00;  310160.00
1.007  ;  610912.00;  609172.00;  310160.00
1.007  ;  610912.00;  609172.00;  310160.00
1.007  ;  610912.00;  609172.00;  310156.00
1.007  ;  610912.00;  609172.00;  310164.00
1.007  ;  610912.00;  609172.00;  310156.00
1.007  ;  610912.00;  609172.00;  310160.00
1.007  ;  610912.00;  609172.00;  310156.00
1.007  ;  610912.00;  609172.00;  310160.00
1.007  ;  610912.00;  609172.00;  310156.00
1.007  ;  610912.00;  609172.00;  310164.00
1.008  ;  610912.00;  609172.00;  310160.00
1.008  ;  610912.00;  609172.00;  310160.00
1.008  ;  610912.00;  609172.00;  310156.00
1.007  ;  610912.00;  609172.00;  310160.00
1.007  ;  530324.00;  528584.00;  391772.00
1.006  ;  530324.00;  528584.00;   79308.00
1.007  ;  530324.00;  528584.00;   75364.00
1.007  ;  530324.00;  528584.00;   81468.00
1.007  ;  530324.00;  528584.00;   80468.00
1.007  ;  530324.00;  528584.00;   80124.00
1.006  ;  530324.00;  528584.00;   82188.00
1.006  ;  530324.00;  528584.00;   80128.00
1.006  ;  530324.00;  528584.00;   81836.00
1.006  ;  530324.00;  528584.00;   81256.00
1.006  ;  530324.00;  528584.00;   81852.00
1.006  ;  530324.00;  528584.00;   81124.00
1.006  ;  530324.00;  528584.00;   80468.00
1.006  ;  530324.00;  528584.00;   82612.00
