Watching PID 40256 page references for every 1 seconds...
Est(s) ;    RSS(kB);    PSS(kB);    Ref(kB)
1.002  ;   55088.00;   53484.00;   48076.00
1.002  ;   81144.00;   79540.00;   63740.00
1.003  ;   99268.00;   97664.00;   73244.00
1.003  ;  114752.00;  113148.00;   82208.00
1.003  ;  127316.00;  125712.00;   88736.00
1.003  ;  143992.00;  142388.00;  101044.00
1.002  ;  152800.00;  151196.00;   80472.00
1.004  ;  159208.00;  157604.00;   81444.00
1.002  ;  164312.00;  162708.00;   81680.00
1.004  ;  168848.00;  167244.00;   84072.00
1.004  ;  172924.00;  171320.00;   84864.00
1.004  ;  176556.00;  174952.00;   86992.00
1.004  ;  179980.00;  178376.00;   88312.00
1.004  ;  183276.00;  181672.00;   89524.00
1.004  ;  186292.00;  184688.00;   89756.00
1.004  ;  189208.00;  187604.00;   92204.00
1.004  ;  192112.00;  190508.00;   91996.00
1.004  ;  203900.00;  202296.00;  123428.00
1.004  ;  215356.00;  213752.00;  119456.00
1.004  ;  222980.00;  221376.00;  119424.00
1.004  ;  229028.00;  227424.00;  120320.00
1.005  ;  234112.00;  232508.00;  122008.00
1.005  ;  238476.00;  236872.00;  122372.00
1.005  ;  242568.00;  240964.00;  124336.00
1.005  ;  246220.00;  244616.00;  125836.00
1.005  ;  249632.00;  248028.00;  127100.00
1.005  ;  252924.00;  251320.00;  128448.00
1.005  ;  256000.00;  254396.00;  130308.00
1.006  ;  258996.00;  257392.00;  130852.00
1.005  ;  261892.00;  260288.00;  132136.00
1.007  ;  264180.00;  262576.00;  131080.00
1.005  ;  266836.00;  265232.00;  133760.00
1.005  ;  269356.00;  267752.00;  135880.00
1.005  ;  271540.00;  269936.00;  136412.00
1.005  ;  274296.00;  272692.00;  140048.00
1.005  ;  276672.00;  275068.00;  138988.00
1.005  ;  278588.00;  276984.00;  138576.00
1.005  ;  281012.00;  279408.00;  142372.00
1.004  ;  283112.00;  281508.00;  143436.00
1.005  ;  285272.00;  283668.00;  144920.00
1.005  ;  291404.00;  289800.00;  157948.00
1.005  ;  308500.00;  306896.00;  150212.00
1.006  ;  318084.00;  316480.00;  146136.00
1.006  ;  324672.00;  323068.00;  142852.00
1.006  ;  330076.00;  328472.00;  133104.00
1.006  ;  332356.00;  330752.00;   18816.00
1.006  ;  335580.00;  333976.00;   46232.00
1.006  ;  338048.00;  336444.00;   36424.00
1.006  ;  338268.00;  336664.00;   34980.00
1.006  ;  338268.00;  336664.00;   30856.00
1.006  ;  338268.00;  336664.00;   26532.00
1.006  ;  338268.00;  336664.00;   45904.00
1.006  ;  338268.00;  336664.00;   41752.00
1.006  ;  338268.00;  336664.00;   18060.00
1.006  ;  338268.00;  336664.00;   17396.00
1.006  ;  338268.00;  336664.00;   17384.00
1.006  ;  338268.00;  336664.00;   16912.00
1.005  ;  338268.00;  336664.00;   19828.00
1.006  ;  338268.00;  336664.00;   15220.00
1.006  ;  338268.00;  336664.00;   15400.00
1.006  ;  332036.00;  330404.00;  240388.00
1.006  ;  340304.00;  338672.00;  186728.00
1.006  ;  352108.00;  350476.00;  199976.00
1.006  ;  352108.00;  350476.00;  189076.00
1.006  ;  361544.00;  359912.00;  204548.00
1.006  ;  361544.00;  359912.00;  203080.00
1.006  ;  375108.00;  373476.00;  218580.00
1.006  ;  375108.00;  373476.00;  203988.00
1.006  ;  375108.00;  373476.00;  186620.00
1.006  ;  375108.00;  373476.00;  199984.00
1.006  ;  375108.00;  373476.00;  196888.00
1.006  ;  375108.00;  373476.00;  194064.00
1.006  ;  375108.00;  373476.00;  198752.00
1.006  ;  375108.00;  373476.00;  188340.00
1.007  ;  444840.00;  443208.00;  290008.00
1.008  ;  444840.00;  443208.00;  198508.00
1.008  ;  444840.00;  443208.00;  249664.00
1.007  ;  444840.00;  443208.00;  196656.00
1.007  ;  444840.00;  443208.00;  209516.00
1.007  ;  444840.00;  443208.00;  188540.00
1.007  ;  444840.00;  443208.00;  218916.00
1.007  ;  444840.00;  443208.00;  206184.00
1.007  ;  444840.00;  443208.00;  192368.00
1.007  ;  444840.00;  443208.00;  185872.00
1.007  ;  444840.00;  443208.00;  202888.00
1.007  ;  444840.00;  443208.00;  185728.00
1.007  ;  444840.00;  443208.00;  248700.00
1.007  ;  444840.00;  443208.00;  201936.00
1.007  ;  444840.00;  443208.00;  200140.00
1.009  ;  444840.00;  443208.00;  188324.00
1.011  ;  444840.00;  443208.00;  202216.00
1.008  ;  444840.00;  443208.00;  182172.00
1.007  ;  444840.00;  443208.00;  199476.00
1.007  ;  444840.00;  443208.00;  192592.00
1.007  ;  444840.00;  443208.00;  217124.00
1.007  ;  444840.00;  443208.00;  182340.00
1.007  ;  444840.00;  443208.00;  180716.00
1.007  ;  444840.00;  443208.00;  195492.00
1.007  ;  444840.00;  443208.00;  175660.00
1.007  ;  444840.00;  443208.00;  199416.00
1.007  ;  444840.00;  443208.00;  207104.00
1.007  ;  444840.00;  443208.00;  183108.00
1.007  ;  444840.00;  443208.00;  190012.00
1.007  ;  444840.00;  443208.00;  178644.00
1.007  ;  444840.00;  443208.00;  191316.00
1.007  ;  444840.00;  443208.00;  181988.00
1.007  ;  444840.00;  443208.00;  237268.00
1.007  ;  444840.00;  443208.00;  193160.00
1.007  ;  444840.00;  443208.00;  186360.00
1.007  ;  444840.00;  443208.00;  184780.00
1.007  ;  444840.00;  443208.00;  183488.00
1.007  ;  444840.00;  443208.00;  198720.00
1.007  ;  444840.00;  443208.00;  193004.00
1.007  ;  444840.00;  443208.00;  193668.00
1.007  ;  444840.00;  443208.00;  252520.00
1.007  ;  444840.00;  443208.00;  179416.00
1.007  ;  444840.00;  443208.00;  184856.00
1.007  ;  444840.00;  443208.00;  187536.00
1.007  ;  444840.00;  443208.00;  182952.00
1.007  ;  444840.00;  443208.00;  218584.00
1.007  ;  444840.00;  443208.00;  199388.00
1.007  ;  444840.00;  443208.00;  185340.00
1.008  ;  444840.00;  443208.00;  177668.00
1.008  ;  444840.00;  443208.00;  193820.00
1.007  ;  444840.00;  443208.00;  190576.00
1.008  ;  444840.00;  443208.00;  218108.00
1.008  ;  444840.00;  443208.00;  188112.00
1.007  ;  444840.00;  443208.00;  249172.00
1.008  ;  444840.00;  443208.00;  204540.00
1.007  ;  444840.00;  443208.00;  178688.00
1.007  ;  444840.00;  443208.00;  191620.00
1.007  ;  444840.00;  443208.00;  196700.00
1.007  ;  444840.00;  443208.00;  180904.00
1.007  ;  444840.00;  443208.00;  199092.00
1.007  ;  444840.00;  443208.00;  180540.00
1.007  ;  444840.00;  443208.00;  181136.00
1.007  ;  444840.00;  443208.00;  190088.00
1.007  ;  444840.00;  443208.00;  187680.00
1.007  ;  444840.00;  443208.00;  212420.00
1.007  ;  444840.00;  443208.00;  199040.00
1.007  ;  444840.00;  443208.00;  214060.00
1.007  ;  444840.00;  443208.00;  187296.00
1.007  ;  444840.00;  443208.00;  176516.00
1.007  ;  444840.00;  443208.00;  200284.00
1.007  ;  444840.00;  443208.00;  193328.00
1.007  ;  444840.00;  443208.00;  183676.00
1.007  ;  444840.00;  443208.00;  177752.00
1.007  ;  444840.00;  443208.00;  257832.00
1.007  ;  444840.00;  443208.00;  193036.00
1.007  ;  444840.00;  443208.00;  191744.00
1.007  ;  444840.00;  443208.00;  191032.00
1.007  ;  444840.00;  443208.00;  215604.00
1.007  ;  444840.00;  443208.00;  199396.00
1.007  ;  444900.00;  443214.00;  242248.00
1.007  ;  444900.00;  443214.00;  191216.00
1.007  ;  444900.00;  443214.00;  206868.00
1.007  ;  444900.00;  443214.00;  199996.00
1.007  ;  444900.00;  443214.00;  187500.00
1.007  ;  444900.00;  443214.00;  201972.00
1.007  ;  444900.00;  443214.00;  195828.00
1.007  ;  444900.00;  443214.00;  186332.00
1.007  ;  444900.00;  443214.00;  204076.00
1.008  ;  444900.00;  443214.00;  181520.00
1.008  ;  444900.00;  443214.00;  193068.00
1.007  ;  444900.00;  443214.00;  191080.00
1.007  ;  444900.00;  443214.00;  191760.00
1.007  ;  444900.00;  443214.00;  188312.00
1.007  ;  444900.00;  443214.00;  208312.00
1.007  ;  444900.00;  443214.00;  185568.00
1.008  ;  444900.00;  443214.00;  186324.00
1.007  ;  444900.00;  443214.00;  190952.00
1.007  ;  444900.00;  443214.00;  227148.00
1.007  ;  444900.00;  443214.00;  221116.00
1.007  ;  444900.00;  443214.00;  185436.00
1.007  ;  444900.00;  443214.00;  204604.00
1.007  ;  444900.00;  443214.00;  185848.00
1.007  ;  444900.00;  443214.00;  191740.00
1.007  ;  444900.00;  443214.00;  194308.00
1.007  ;  444900.00;  443214.00;  187620.00
1.007  ;  444900.00;  443214.00;  191064.00
1.007  ;  444900.00;  443214.00;  178660.00
1.007  ;  444900.00;  443214.00;  180700.00
1.007  ;  444900.00;  443214.00;  198232.00
1.007  ;  444900.00;  443214.00;  192112.00
1.007  ;  444900.00;  443214.00;  191808.00
1.007  ;  444900.00;  443214.00;  182784.00
1.007  ;  444900.00;  443214.00;  180244.00
1.007  ;  444900.00;  443214.00;  217972.00
1.007  ;  444900.00;  443214.00;  207044.00
1.007  ;  444900.00;  443214.00;  186228.00
1.007  ;  444900.00;  443214.00;  191260.00
1.007  ;  444900.00;  443214.00;  185684.00
1.007  ;  444900.00;  443214.00;  193748.00
1.007  ;  444900.00;  443214.00;  216392.00
1.007  ;  444900.00;  443214.00;  197200.00
1.007  ;  444900.00;  443214.00;  192608.00
1.007  ;  444900.00;  443214.00;  245732.00
1.007  ;  444900.00;  443214.00;  183012.00
1.007  ;  444900.00;  443214.00;  181056.00
1.007  ;  444900.00;  443214.00;  217540.00
1.007  ;  444900.00;  443214.00;  205156.00
1.008  ;  444900.00;  443214.00;  178672.00
1.008  ;  444900.00;  443214.00;  196344.00
1.007  ;  444900.00;  443214.00;  217260.00
1.007  ;  444900.00;  443214.00;  202292.00
1.007  ;  444900.00;  443214.00;  229000.00
1.007  ;  444900.00;  443214.00;  193684.00
1.007  ;  444900.00;  443214.00;  228512.00
1.006  ;  444900.00;  443214.00;  208116.00
1.007  ;  444900.00;  443214.00;  183976.00
1.007  ;  444900.00;  443214.00;  231368.00
