Watching PID 46436 page references for every 1 seconds...
Est(s) ;    RSS(kB);    PSS(kB);    Ref(kB)
1.004  ;  600624.00;  598749.00;  586324.00
1.006  ;  600628.00;  598753.00;  446040.00
1.007  ;  737400.00;  735525.00;  625144.00
1.007  ;  808892.00;  807017.00;  385656.00
1.007  ;  808892.00;  807017.00;  448716.00
1.007  ;  808892.00;  807017.00;  580884.00
1.008  ;  808892.00;  807017.00;  445944.00
1.008  ;  808892.00;  807017.00;  696688.00
1.008  ;  808892.00;  807017.00;  445944.00
1.008  ;  808892.00;  807017.00;  696688.00
1.008  ;  808892.00;  807017.00;  445944.00
1.007  ;  808892.00;  807017.00;  696688.00
1.008  ;  808892.00;  807017.00;  330144.00
1.008  ;  808892.00;  807017.00;  481624.00
1.007  ;  808892.00;  807017.00;  580880.00
1.007  ;  808892.00;  807017.00;  445948.00
1.008  ;  808892.00;  807017.00;  580896.00
1.008  ;  808892.00;  807017.00;  445940.00
1.009  ;  808892.00;  807017.00;  696692.00
1.008  ;  808892.00;  807017.00;  445944.00
1.007  ;  808896.00;  807021.00;  696696.00
1.008  ;  808896.00;  807021.00;  445944.00
1.007  ;  808896.00;  807021.00;  696696.00
1.008  ;  808896.00;  807021.00;  330144.00
1.008  ;  808896.00;  807021.00;  487824.00
1.008  ;  808896.00;  807021.00;  539100.00
1.008  ;  808896.00;  807021.00;  450724.00
1.008  ;  808896.00;  807021.00;  580896.00
1.008  ;  808896.00;  807021.00;  445944.00
1.008  ;  808896.00;  807021.00;  696700.00
1.008  ;  808896.00;  807021.00;  445944.00
1.008  ;  808896.00;  807021.00;  696696.00
1.008  ;  808896.00;  807021.00;  445944.00
1.007  ;  808896.00;  807021.00;  696696.00
1.008  ;  808896.00;  807021.00;  445944.00
1.008  ;  808896.00;  807021.00;  487964.00
1.007  ;  808896.00;  807021.00;  538820.00
1.008  ;  808896.00;  807021.00;  458888.00
1.007  ;  808896.00;  807021.00;  580888.00
1.008  ;  808896.00;  807021.00;  445948.00
1.008  ;  808896.00;  807021.00;  682800.00
1.014  ;  808896.00;  807021.00;  445952.00
1.008  ;  808896.00;  807021.00;  696692.00
1.008  ;  808896.00;  807021.00;  445948.00
1.007  ;  808896.00;  807021.00;  696692.00
1.008  ;  808896.00;  807021.00;  330148.00
1.008  ;  808896.00;  807021.00;  484352.00
1.008  ;  808896.00;  807021.00;  548516.00
1.008  ;  808896.00;  807021.00;  447028.00
1.007  ;  808896.00;  807021.00;  580892.00
1.008  ;  808896.00;  807021.00;  445944.00
1.008  ;  808896.00;  807021.00;  696700.00
1.008  ;  808896.00;  807021.00;  445948.00
1.008  ;  808900.00;  807025.00;  696700.00
1.008  ;  808900.00;  807025.00;  445948.00
1.008  ;  808900.00;  807025.00;  696700.00
1.009  ;  808900.00;  807025.00;  357940.00
1.008  ;  808900.00;  807025.00;  487968.00
1.007  ;  808900.00;  807025.00;  538772.00
1.008  ;  808900.00;  807025.00;  453100.00
1.008  ;  808900.00;  807025.00;  580900.00
1.008  ;  808900.00;  807025.00;  445948.00
1.008  ;  808900.00;  807025.00;  696704.00
1.008  ;  808900.00;  807025.00;  445948.00
1.008  ;  808900.00;  807025.00;  696704.00
1.008  ;  808900.00;  807025.00;  445948.00
1.007  ;  808900.00;  807025.00;  696700.00
1.009  ;  808900.00;  807025.00;  427420.00
1.008  ;  808900.00;  807025.00;  479240.00
1.007  ;  808900.00;  807025.00;  580892.00
1.008  ;  808900.00;  807025.00;  445960.00
1.008  ;  808900.00;  807025.00;  580900.00
1.008  ;  808900.00;  807025.00;  445952.00
1.009  ;  808900.00;  807025.00;  696696.00
1.008  ;  808900.00;  807025.00;  445952.00
1.008  ;  808900.00;  807025.00;  696696.00
1.008  ;  808900.00;  807025.00;  445952.00
1.007  ;  808900.00;  807025.00;  696696.00
1.008  ;  808900.00;  807025.00;  344048.00
1.008  ;  808900.00;  807025.00;  487824.00
1.008  ;  808900.00;  807025.00;  539144.00
1.008  ;  808900.00;  807025.00;  455108.00
1.007  ;  808900.00;  807025.00;  580896.00
1.009  ;  808900.00;  807025.00;  445944.00
1.008  ;  808900.00;  807025.00;  580904.00
1.008  ;  808900.00;  807025.00;  445948.00
1.008  ;  808900.00;  807025.00;  696700.00
1.008  ;  808900.00;  807025.00;  445948.00
1.007  ;  808904.00;  807029.00;  696704.00
1.008  ;  808904.00;  807029.00;  445948.00
1.007  ;  808904.00;  807029.00;  696708.00
1.008  ;  808904.00;  807029.00;  330148.00
1.007  ;  808904.00;  807029.00;  464104.00
1.008  ;  808904.00;  807029.00;  580904.00
1.008  ;  808904.00;  807029.00;  445956.00
1.007  ;  808904.00;  807029.00;  580912.00
1.008  ;  808904.00;  807029.00;  445948.00
1.007  ;  808904.00;  807029.00;  696704.00
1.008  ;  808904.00;  807029.00;  445948.00
1.007  ;  808904.00;  807029.00;  696704.00
1.008  ;  808904.00;  807029.00;  445948.00
1.009  ;  808904.00;  807029.00;  664764.00
1.008  ;  808904.00;  807029.00;  330148.00
1.007  ;  808904.00;  807029.00;  466040.00
1.008  ;  808904.00;  807029.00;  580896.00
1.008  ;  808904.00;  807029.00;  445960.00
1.008  ;  808904.00;  807029.00;  580904.00
1.008  ;  808904.00;  807029.00;  445952.00
1.008  ;  808904.00;  807029.00;  696700.00
1.008  ;  808904.00;  807029.00;  445952.00
1.007  ;  808904.00;  807029.00;  696700.00
1.008  ;  808904.00;  807029.00;  445952.00
1.008  ;  808904.00;  807029.00;  696704.00
1.008  ;  808904.00;  807029.00;  330152.00
1.008  ;  808904.00;  807029.00;  465200.00
1.007  ;  808904.00;  807029.00;  580900.00
1.008  ;  808904.00;  807029.00;  445956.00
1.009  ;  808904.00;  807029.00;  580908.00
1.008  ;  808904.00;  807029.00;  445944.00
1.008  ;  808904.00;  807029.00;  696700.00
1.008  ;  808904.00;  807029.00;  445944.00
1.007  ;  808904.00;  807029.00;  696700.00
1.007  ;  808904.00;  807029.00;  445948.00
1.007  ;  808908.00;  807033.00;  696708.00
1.008  ;  808908.00;  807033.00;  330148.00
1.008  ;  808908.00;  807033.00;  469852.00
1.008  ;  808908.00;  807033.00;  580896.00
1.008  ;  808908.00;  807033.00;  445960.00
1.007  ;  808908.00;  807033.00;  580904.00
1.008  ;  808908.00;  807033.00;  445952.00
1.008  ;  808908.00;  807033.00;  696708.00
1.007  ;  808908.00;  807033.00;  445948.00
1.007  ;  808908.00;  807033.00;  696704.00
1.007  ;  808908.00;  807033.00;  445948.00
1.007  ;  808908.00;  807033.00;  696708.00
1.007  ;  808908.00;  807033.00;  330148.00
1.007  ;  808908.00;  807033.00;  477784.00
1.007  ;  808908.00;  807033.00;  580896.00
1.007  ;  808908.00;  807033.00;  445960.00
1.007  ;  808908.00;  807033.00;  580904.00
1.007  ;  808908.00;  807033.00;  445952.00
1.008  ;  808908.00;  807033.00;  696700.00
1.008  ;  808908.00;  807033.00;  445952.00
1.007  ;  808908.00;  807033.00;  696700.00
1.010  ;  808908.00;  807033.00;  445952.00
1.007  ;  808908.00;  807033.00;  696700.00
1.008  ;  808908.00;  807033.00;  330152.00
1.008  ;  808908.00;  807033.00;  479168.00
1.008  ;  808908.00;  807033.00;  580900.00
1.008  ;  808908.00;  807033.00;  446376.00
1.007  ;  808908.00;  807033.00;  580900.00
1.008  ;  808908.00;  807033.00;  445948.00
1.010  ;  808908.00;  807033.00;  696704.00
1.008  ;  808908.00;  807033.00;  445944.00
1.008  ;  808908.00;  807033.00;  696700.00
1.008  ;  808908.00;  807033.00;  445944.00
1.006  ;  808908.00;  807033.00;  696700.00
1.009  ;  808908.00;  807033.00;  367976.00
1.009  ;  808908.00;  807033.00;  487828.00
1.009  ;  808912.00;  807037.00;  539148.00
1.008  ;  808912.00;  807037.00;  447356.00
1.008  ;  808912.00;  807037.00;  580896.00
1.008  ;  808912.00;  807037.00;  445952.00
1.008  ;  808912.00;  807037.00;  696704.00
1.007  ;  808912.00;  807037.00;  445952.00
1.008  ;  808912.00;  807037.00;  696700.00
1.008  ;  808912.00;  807037.00;  445952.00
1.008  ;  808912.00;  807037.00;  696708.00
1.009  ;  808912.00;  807037.00;  417032.00
1.008  ;  808912.00;  807037.00;  487828.00
1.008  ;  808912.00;  807037.00;  539076.00
1.008  ;  808912.00;  807037.00;  450988.00
1.008  ;  808912.00;  807037.00;  580896.00
1.008  ;  808912.00;  807037.00;  445952.00
1.008  ;  808912.00;  807037.00;  696708.00
1.008  ;  808912.00;  807037.00;  445952.00
