Watching PID 51597 page references for every 1 seconds...
Est(s) ;    RSS(kB);    PSS(kB);    Ref(kB)
1.003  ;  160332.00;  158571.00;  128688.00
1.003  ;  160396.00;  158635.00;  133424.00
1.003  ;  160512.00;  158736.00;  128776.00
1.003  ;  161192.00;  159416.00;  127296.00
1.003  ;  161192.00;  159416.00;  135092.00
1.003  ;  161548.00;  159772.00;  123420.00
1.003  ;  161560.00;  159784.00;  130504.00
1.003  ;  161560.00;  159784.00;  130864.00
1.003  ;  162168.00;  160392.00;  128224.00
1.003  ;  162168.00;  160392.00;  130936.00
1.003  ;  162472.00;  160696.00;  132100.00
1.003  ;  162988.00;  161212.00;  129368.00
1.003  ;  162988.00;  161212.00;  129256.00
1.003  ;  163316.00;  161540.00;  128316.00
1.003  ;  163352.00;  161576.00;  131724.00
1.003  ;  163352.00;  161576.00;  129264.00
1.003  ;  163696.00;  161920.00;  129340.00
1.003  ;  163696.00;  161920.00;  129324.00
1.003  ;  163708.00;  161932.00;  133268.00
1.003  ;  163804.00;  162028.00;  127320.00
1.003  ;  163804.00;  162028.00;  131024.00
1.003  ;  163840.00;  162064.00;  127640.00
1.003  ;  163892.00;  162116.00;  131052.00
1.003  ;  163892.00;  162116.00;  131056.00
1.003  ;  164160.00;  162384.00;  128368.00
1.003  ;  164160.00;  162384.00;  131000.00
1.003  ;  164376.00;  162600.00;  131584.00
1.003  ;  164432.00;  162656.00;  129056.00
1.003  ;  164432.00;  162656.00;  129424.00
1.003  ;  164460.00;  162684.00;  127864.00
1.003  ;  164464.00;  162688.00;  128304.00
1.003  ;  164464.00;  162688.00;  133700.00
1.003  ;  164588.00;  162812.00;  130248.00
1.003  ;  164588.00;  162812.00;  129456.00
1.004  ;  164596.00;  162820.00;  132708.00
1.003  ;  164656.00;  162880.00;  123032.00
1.003  ;  164656.00;  162880.00;  135424.00
1.003  ;  164692.00;  162916.00;  127584.00
1.003  ;  164728.00;  162952.00;  127236.00
1.003  ;  164728.00;  162952.00;  131156.00
1.003  ;  164824.00;  163048.00;  128084.00
1.003  ;  164932.00;  163156.00;  132152.00
1.003  ;  164932.00;  163156.00;  129524.00
1.003  ;  164972.00;  163196.00;  127524.00
1.003  ;  164972.00;  163196.00;  131188.00
1.003  ;  164980.00;  163204.00;  131940.00
1.003  ;  164988.00;  163212.00;  129084.00
1.003  ;  164988.00;  163212.00;  129596.00
1.003  ;  165048.00;  163272.00;  130308.00
1.003  ;  165048.00;  163272.00;  130424.00
1.003  ;  165048.00;  163272.00;  131224.00
1.003  ;  165116.00;  163340.00;  127776.00
1.003  ;  165116.00;  163340.00;  129560.00
1.002  ;  165132.00;  163356.00;  132796.00
1.003  ;  165208.00;  163432.00;  127396.00
1.003  ;  165208.00;  163432.00;  131180.00
1.003  ;  165228.00;  163452.00;  127788.00
1.003  ;  165236.00;  163460.00;  132976.00
1.003  ;  165236.00;  163460.00;  129532.00
1.004  ;  165400.00;  163624.00;  128624.00
1.003  ;  165400.00;  163624.00;  126828.00
1.003  ;  165400.00;  163624.00;  135484.00
1.003  ;  165572.00;  163796.00;  129272.00
1.003  ;  165572.00;  163796.00;  129540.00
1.003  ;  165604.00;  163828.00;  129724.00
1.003  ;  165624.00;  163848.00;  126888.00
1.003  ;  165624.00;  163848.00;  135528.00
1.003  ;  165660.00;  163884.00;  123644.00
1.002  ;  165664.00;  163888.00;  130392.00
1.003  ;  165664.00;  163888.00;  131208.00
1.003  ;  165704.00;  163928.00;  127736.00
1.003  ;  165704.00;  163928.00;  135628.00
1.003  ;  165720.00;  163944.00;  127748.00
1.003  ;  165724.00;  163948.00;  127352.00
1.003  ;  165724.00;  163948.00;  131236.00
1.003  ;  165884.00;  164108.00;  128440.00
1.002  ;  165884.00;  164108.00;  132064.00
1.003  ;  165884.00;  164108.00;  129632.00
1.003  ;  165908.00;  164132.00;  129252.00
1.003  ;  165908.00;  164132.00;  129600.00
1.003  ;  165916.00;  164140.00;  133988.00
1.004  ;  165924.00;  164148.00;  127096.00
1.003  ;  165924.00;  164148.00;  129516.00
1.003  ;  165936.00;  164160.00;  129660.00
1.003  ;  165936.00;  164160.00;  130924.00
1.003  ;  165936.00;  164160.00;  131164.00
1.003  ;  165944.00;  164168.00;  127900.00
1.003  ;  165944.00;  164168.00;  131180.00
1.003  ;  165944.00;  164168.00;  131772.00
1.003  ;  165976.00;  164200.00;  127348.00
1.003  ;  165976.00;  164200.00;  131236.00
1.003  ;  165996.00;  164220.00;  128120.00
1.003  ;  166024.00;  164248.00;  132892.00
1.003  ;  166024.00;  164248.00;  129612.00
1.003  ;  166056.00;  164280.00;  129808.00
1.003  ;  166056.00;  164280.00;  125284.00
1.003  ;  166060.00;  164284.00;  137756.00
1.003  ;  166136.00;  164360.00;  123112.00
1.003  ;  166136.00;  164360.00;  133908.00
1.003  ;  166136.00;  164360.00;  129432.00
1.003  ;  166148.00;  164372.00;  127028.00
1.003  ;  166148.00;  164372.00;  135552.00
1.003  ;  166156.00;  164380.00;  123696.00
1.003  ;  166184.00;  164408.00;  130632.00
1.003  ;  166184.00;  164408.00;  131228.00
1.003  ;  166284.00;  164508.00;  127792.00
1.003  ;  166284.00;  164508.00;  131244.00
1.003  ;  166284.00;  164508.00;  132068.00
1.003  ;  166284.00;  164508.00;  128924.00
1.003  ;  166284.00;  164508.00;  129644.00
1.003  ;  166288.00;  164512.00;  128272.00
1.003  ;  166292.00;  164516.00;  132048.00
1.003  ;  166292.00;  164516.00;  129580.00
1.003  ;  166324.00;  164548.00;  129268.00
1.003  ;  166324.00;  164548.00;  129572.00
1.005  ;  166332.00;  164556.00;  133732.00
1.003  ;  166340.00;  164564.00;  127200.00
1.003  ;  166340.00;  164564.00;  131220.00
1.003  ;  166348.00;  164572.00;  128020.00
1.003  ;  166348.00;  164572.00;  131072.00
1.003  ;  166348.00;  164572.00;  131272.00
1.003  ;  166392.00;  164616.00;  128228.00
1.003  ;  166392.00;  164616.00;  131264.00
1.003  ;  166392.00;  164616.00;  131904.00
1.003  ;  166400.00;  164624.00;  128912.00
1.003  ;  166400.00;  164624.00;  129544.00
1.003  ;  166432.00;  164656.00;  128184.00
1.003  ;  166436.00;  164660.00;  132752.00
1.003  ;  166436.00;  164660.00;  129588.00
1.003  ;  166476.00;  164700.00;  129940.00
1.003  ;  166476.00;  164700.00;  129504.00
1.003  ;  166476.00;  164700.00;  133380.00
1.003  ;  166480.00;  164704.00;  122884.00
1.003  ;  166480.00;  164704.00;  135512.00
1.003  ;  166484.00;  164708.00;  127760.00
1.003  ;  166484.00;  164708.00;  131468.00
1.003  ;  166484.00;  164708.00;  131228.00
1.003  ;  166584.00;  164808.00;  128364.00
1.003  ;  166584.00;  164808.00;  131244.00
1.003  ;  166584.00;  164808.00;  131132.00
1.003  ;  166684.00;  164908.00;  129160.00
1.003  ;  166684.00;  164908.00;  125204.00
1.002  ;  166684.00;  164908.00;  132168.00
1.003  ;  166684.00;  164908.00;  128668.00
1.003  ;  166684.00;  164908.00;  129616.00
1.003  ;  166688.00;  164912.00;  130000.00
1.003  ;  166688.00;  164912.00;  129636.00
1.003  ;  166688.00;  164912.00;  136608.00
1.003  ;  166688.00;  164912.00;  123072.00
1.003  ;  166688.00;  164912.00;  129540.00
