Watching PID 57208 page references for every 1 seconds...
Est(s) ;    RSS(kB);    PSS(kB);    Ref(kB)
1.002  ;   96536.00;   94760.00;   89336.00
1.002  ;   96900.00;   95120.00;   47772.00
1.002  ;  112748.00;  110968.00;   92800.00
1.002  ;  112748.00;  110968.00;   46864.00
1.003  ;  126172.00;  124392.00;   92952.00
1.003  ;  126172.00;  124392.00;   50664.00
1.002  ;  126172.00;  124392.00;   64948.00
1.003  ;  138828.00;  137048.00;   91304.00
1.003  ;  138828.00;  137048.00;   47848.00
1.003  ;  153020.00;  151240.00;   93136.00
1.003  ;  153020.00;  151240.00;   47320.00
1.003  ;  166440.00;  164660.00;   93440.00
1.003  ;  166440.00;  164660.00;   43124.00
1.003  ;  166440.00;  164660.00;   66068.00
1.003  ;  179868.00;  178088.00;   92508.00
1.003  ;  179868.00;  178088.00;   46648.00
1.003  ;  193288.00;  191508.00;   92952.00
1.003  ;  193288.00;  191508.00;   48828.00
1.004  ;  206712.00;  204932.00;   93900.00
1.004  ;  206712.00;  204932.00;   47900.00
1.004  ;  215720.00;  213940.00;   89836.00
1.004  ;  220136.00;  218356.00;   91140.00
1.004  ;  220136.00;  218356.00;   45612.00
1.004  ;  233556.00;  231776.00;   92908.00
1.004  ;  233556.00;  231776.00;   48572.00
1.004  ;  233556.00;  231776.00;   58276.00
1.004  ;  233556.00;  231776.00;   46908.00
1.004  ;  233556.00;  231776.00;   45468.00
1.004  ;  233556.00;  231776.00;   42964.00
1.004  ;  233556.00;  231776.00;   42952.00
1.004  ;  243920.00;  242140.00;   42748.00
1.004  ;  258116.00;  256336.00;   42812.00
1.004  ;  272312.00;  270532.00;   42680.00
1.005  ;  286512.00;  284732.00;   42684.00
1.005  ;  300712.00;  298932.00;   42632.00
1.005  ;  314908.00;  313128.00;   42508.00
1.005  ;  319940.00;  318160.00;   86752.00
1.005  ;  319940.00;  318160.00;  120748.00
1.005  ;  319940.00;  318160.00;   29608.00
1.005  ;  319940.00;  318160.00;   37256.00
1.005  ;  319940.00;  318160.00;   37376.00
1.005  ;  319940.00;  318160.00;   33840.00
1.005  ;  319940.00;  318160.00;  115948.00
1.005  ;  319940.00;  318160.00;  120376.00
1.005  ;  319940.00;  318160.00;  127148.00
1.005  ;  319940.00;  318160.00;  121372.00
1.005  ;  319940.00;  318160.00;  120352.00
1.005  ;  319940.00;  318160.00;  127124.00
1.005  ;  319940.00;  318160.00;  121376.00
1.005  ;  319940.00;  318160.00;  120360.00
1.005  ;  319940.00;  318160.00;  127116.00
1.005  ;  319940.00;  318160.00;  121384.00
1.005  ;  319940.00;  318160.00;  120388.00
1.005  ;  319940.00;  318160.00;  127084.00
1.005  ;  319940.00;  318160.00;  121308.00
1.006  ;  319940.00;  318160.00;  120332.00
1.005  ;  319940.00;  318160.00;  127104.00
1.005  ;  319940.00;  318160.00;  121260.00
1.005  ;  319940.00;  318160.00;  120352.00
1.005  ;  319940.00;  318160.00;  127076.00
1.005  ;  319940.00;  318160.00;  121320.00
1.005  ;  319940.00;  318160.00;  120316.00
1.005  ;  319940.00;  318160.00;  127172.00
1.005  ;  319940.00;  318160.00;  116012.00
1.005  ;  319940.00;  318160.00;  120404.00
1.005  ;  319940.00;  318160.00;  121612.00
1.005  ;  319940.00;  318160.00;  121372.00
1.005  ;  319940.00;  318160.00;  120348.00
1.004  ;  319940.00;  318160.00;  127204.00
1.005  ;  319940.00;  318160.00;  121476.00
1.005  ;  319940.00;  318160.00;  120308.00
1.005  ;  319940.00;  318160.00;  127108.00
1.005  ;  319940.00;  318160.00;  121288.00
1.005  ;  319940.00;  318160.00;  120348.00
1.005  ;  319940.00;  318160.00;  127184.00
1.005  ;  319940.00;  318160.00;  121300.00
1.005  ;  319940.00;  318160.00;  120352.00
1.005  ;  319940.00;  318160.00;  120040.00
1.005  ;  319940.00;  318160.00;  120432.00
1.005  ;  319940.00;  318160.00;  127324.00
1.004  ;  319940.00;  318160.00;  121428.00
1.005  ;  319940.00;  318160.00;  120320.00
1.005  ;  319940.00;  318160.00;  127360.00
1.005  ;  319940.00;  318160.00;  121760.00
1.005  ;  319940.00;  318160.00;  120348.00
1.005  ;  319940.00;  318160.00;  127348.00
1.005  ;  319940.00;  318160.00;  121772.00
1.005  ;  319940.00;  318160.00;  120364.00
1.005  ;  319940.00;  318160.00;  127372.00
1.005  ;  319940.00;  318160.00;  122228.00
1.005  ;  319984.00;  318200.00;  123868.00
1.005  ;  319984.00;  318200.00;   92920.00
1.005  ;  319984.00;  318200.00;   12316.00
1.005  ;  319984.00;  318200.00;   19812.00
1.005  ;  319984.00;  318200.00;   21060.00
1.005  ;  319984.00;  318200.00;   12756.00
1.005  ;  319984.00;  318200.00;   12368.00
1.005  ;  319984.00;  318200.00;   21056.00
1.005  ;  319984.00;  318200.00;   20956.00
1.005  ;  319984.00;  318200.00;   12384.00
1.005  ;  319984.00;  318200.00;   21100.00
1.005  ;  319984.00;  318200.00;   20908.00
1.005  ;  319984.00;  318200.00;   12316.00
1.005  ;  319984.00;  318200.00;   20176.00
1.005  ;  319984.00;  318200.00;   20904.00
1.005  ;  319984.00;  318200.00;   12376.00
1.005  ;  319984.00;  318200.00;   19752.00
1.005  ;  320048.00;  318256.00;   24552.00
1.005  ;  291824.00;  290032.00;   32164.00
1.005  ;  291824.00;  290032.00;   49420.00
1.005  ;  291824.00;  290032.00;   45556.00
1.005  ;  291824.00;  290032.00;   45584.00
1.004  ;  291824.00;  290032.00;   42708.00
1.005  ;  291824.00;  290032.00;   42644.00
1.004  ;  291824.00;  290032.00;   42420.00
1.005  ;  291824.00;  290032.00;   42332.00
1.004  ;  291824.00;  290032.00;   42024.00
1.005  ;  302908.00;  301116.00;   41832.00
1.004  ;  317104.00;  315312.00;   41648.00
1.005  ;  322136.00;  320344.00;   61392.00
1.004  ;  322136.00;  320344.00;   89708.00
1.005  ;  322136.00;  320344.00;   97368.00
1.005  ;  322136.00;  320344.00;   96332.00
1.005  ;  322136.00;  320344.00;   88276.00
1.005  ;  322136.00;  320344.00;   96064.00
1.004  ;  322136.00;  320344.00;   90608.00
1.005  ;  322136.00;  320344.00;   96060.00
1.005  ;  322136.00;  320344.00;   90384.00
1.004  ;  322136.00;  320344.00;   96052.00
1.005  ;  322136.00;  320344.00;   90624.00
1.005  ;  322136.00;  320344.00;   96012.00
1.005  ;  322136.00;  320344.00;   90192.00
1.005  ;  322136.00;  320344.00;  100312.00
1.005  ;  322136.00;  320344.00;   89612.00
1.005  ;  322136.00;  320344.00;   93164.00
1.005  ;  322136.00;  320344.00;   96256.00
1.005  ;  322136.00;  320344.00;   90424.00
1.005  ;  322136.00;  320344.00;   96212.00
1.005  ;  322136.00;  320344.00;   90620.00
1.005  ;  322136.00;  320344.00;   96228.00
1.005  ;  322136.00;  320344.00;   90340.00
1.005  ;  322136.00;  320344.00;   96204.00
1.005  ;  322136.00;  320344.00;   90596.00
1.005  ;  322136.00;  320344.00;   96128.00
1.005  ;  322136.00;  320344.00;   90224.00
1.005  ;  322136.00;  320344.00;  100520.00
1.005  ;  322136.00;  320344.00;   96012.00
1.005  ;  322136.00;  320344.00;   90856.00
1.005  ;  322136.00;  320344.00;   96068.00
1.005  ;  322136.00;  320344.00;   90588.00
1.005  ;  322136.00;  320344.00;   95936.00
1.005  ;  322136.00;  320344.00;   90524.00
1.005  ;  322136.00;  320344.00;   95964.00
1.005  ;  322136.00;  320344.00;   97064.00
1.005  ;  322136.00;  320344.00;   90676.00
1.005  ;  322136.00;  320344.00;   96228.00
1.005  ;  322136.00;  320344.00;   90224.00
1.005  ;  322136.00;  320344.00;   96224.00
1.005  ;  322136.00;  320344.00;   90564.00
1.005  ;  322136.00;  320344.00;   96164.00
1.005  ;  322136.00;  320344.00;   89892.00
1.005  ;  322136.00;  320344.00;  100468.00
1.005  ;  322136.00;  320344.00;   95984.00
1.005  ;  322136.00;  320344.00;   90920.00
1.005  ;  322136.00;  320344.00;   96052.00
1.005  ;  322136.00;  320344.00;   94668.00
1.005  ;  322136.00;  320344.00;   96000.00
1.005  ;  322136.00;  320344.00;   90392.00
1.005  ;  322136.00;  320344.00;   96064.00
1.005  ;  322136.00;  320344.00;   93340.00
1.005  ;  322136.00;  320344.00;   96048.00
1.005  ;  322136.00;  320344.00;   90192.00
1.005  ;  322136.00;  320344.00;   95992.00
1.005  ;  322136.00;  320344.00;   96912.00
1.005  ;  322136.00;  320344.00;   91368.00
1.005  ;  322136.00;  320344.00;   96312.00
1.006  ;  322136.00;  320344.00;   94668.00
1.006  ;  322136.00;  320344.00;   96312.00
1.005  ;  322136.00;  320344.00;   90680.00
1.005  ;  322136.00;  320344.00;   96328.00
1.005  ;  322136.00;  320344.00;   96688.00
1.005  ;  322136.00;  320344.00;   93556.00
1.005  ;  322136.00;  320344.00;   96044.00
1.005  ;  322136.00;  320344.00;   90580.00
1.006  ;  322136.00;  320344.00;   96064.00
1.005  ;  322136.00;  320344.00;   94912.00
1.006  ;  322136.00;  320344.00;   98888.00
1.005  ;  322136.00;  320344.00;   16120.00
1.005  ;  322136.00;  320344.00;   21304.00
1.006  ;  322136.00;  320344.00;   13236.00
1.005  ;  322136.00;  320344.00;   12628.00
1.005  ;  322136.00;  320344.00;   21352.00
1.005  ;  322136.00;  320344.00;   21216.00
1.005  ;  322136.00;  320344.00;   12612.00
1.005  ;  322136.00;  320344.00;   21372.00
1.005  ;  322136.00;  320344.00;   21232.00
1.005  ;  322136.00;  320344.00;   12564.00
1.005  ;  322136.00;  320344.00;   20996.00
1.005  ;  322136.00;  320344.00;   21124.00
1.005  ;  322136.00;  320344.00;   12536.00
1.005  ;  322136.00;  320344.00;   21260.00
1.005  ;  322136.00;  320344.00;   21136.00
1.005  ;  322136.00;  320344.00;   12544.00
1.005  ;  322136.00;  320344.00;   41688.00
1.005  ;  322136.00;  320344.00;   42804.00
1.005  ;  322136.00;  320344.00;   42308.00
1.005  ;  322136.00;  320344.00;   41848.00
1.005  ;  322136.00;  320344.00;   41424.00
1.005  ;  322136.00;  320344.00;   28428.00
1.005  ;  322136.00;  320344.00;   34640.00
1.005  ;  322136.00;  320344.00;   33584.00
1.005  ;  322136.00;  320344.00;   36904.00
1.005  ;  322136.00;  320344.00;   36056.00
1.005  ;  322136.00;  320344.00;   43220.00
1.005  ;  322136.00;  320344.00;   43032.00
1.005  ;  322136.00;  320344.00;   92504.00
1.005  ;  322136.00;  320344.00;   90232.00
1.005  ;  322136.00;  320344.00;   97368.00
1.005  ;  322136.00;  320344.00;   90052.00
1.005  ;  322136.00;  320344.00;   96320.00
1.005  ;  322136.00;  320344.00;   96084.00
1.005  ;  322136.00;  320344.00;   91228.00
1.005  ;  322136.00;  320344.00;   96116.00
1.005  ;  322136.00;  320344.00;   95032.00
1.005  ;  322136.00;  320344.00;   96124.00
1.005  ;  322136.00;  320344.00;   93504.00
1.005  ;  322136.00;  320344.00;   96116.00
1.006  ;  322136.00;  320344.00;   93484.00
1.005  ;  322136.00;  320344.00;   96008.00
1.005  ;  322136.00;  320344.00;   94912.00
1.005  ;  322136.00;  320344.00;   90748.00
1.005  ;  322136.00;  320344.00;   96196.00
1.005  ;  322136.00;  320344.00;   90316.00
1.005  ;  322136.00;  320344.00;   96180.00
1.005  ;  322136.00;  320344.00;   90356.00
1.005  ;  322136.00;  320344.00;   96104.00
1.005  ;  322136.00;  320344.00;   96396.00
1.005  ;  322136.00;  320344.00;   90760.00
1.005  ;  322136.00;  320344.00;   95940.00
1.005  ;  322136.00;  320344.00;   86612.00
1.005  ;  322136.00;  320344.00;   95948.00
1.005  ;  322136.00;  320344.00;   90332.00
1.005  ;  322136.00;  320344.00;   95852.00
1.005  ;  322136.00;  320344.00;   90900.00
1.005  ;  322136.00;  320344.00;   95932.00
1.005  ;  322136.00;  320344.00;   90140.00
1.005  ;  322136.00;  320344.00;  100360.00
1.005  ;  322136.00;  320344.00;   96100.00
1.005  ;  322136.00;  320344.00;   90960.00
1.005  ;  322136.00;  320344.00;   96052.00
1.005  ;  322136.00;  320344.00;   94500.00
1.005  ;  322136.00;  320344.00;   95964.00
1.005  ;  322136.00;  320344.00;   90860.00
1.005  ;  322136.00;  320344.00;   95984.00
1.005  ;  322136.00;  320344.00;   90868.00
1.005  ;  322136.00;  320344.00;   89956.00
1.005  ;  322136.00;  320344.00;   89140.00
1.005  ;  322136.00;  320344.00;   98480.00
1.005  ;  322136.00;  320344.00;   96112.00
1.005  ;  322136.00;  320344.00;   90480.00
1.005  ;  322136.00;  320344.00;   96104.00
1.005  ;  322136.00;  320344.00;   90500.00
1.005  ;  322136.00;  320344.00;   96020.00
1.005  ;  322136.00;  320344.00;   90384.00
1.005  ;  322136.00;  320344.00;   96064.00
1.005  ;  322136.00;  320344.00;   92552.00
1.005  ;  322136.00;  320344.00;   90856.00
1.005  ;  322136.00;  320344.00;   96032.00
1.005  ;  322136.00;  320344.00;   90432.00
1.005  ;  322136.00;  320344.00;   96028.00
1.005  ;  322136.00;  320344.00;   92232.00
1.005  ;  322136.00;  320344.00;   98288.00
1.005  ;  322136.00;  320344.00;   96152.00
1.005  ;  322136.00;  320344.00;   90524.00
1.005  ;  322136.00;  320344.00;   96208.00
1.005  ;  322136.00;  320344.00;   94300.00
1.005  ;  322136.00;  320344.00;   96096.00
1.005  ;  322136.00;  320344.00;   90200.00
1.005  ;  322136.00;  320344.00;   96112.00
1.005  ;  322136.00;  320344.00;   96020.00
1.005  ;  322136.00;  320344.00;   92332.00
1.005  ;  322136.00;  320344.00;   98784.00
1.005  ;  322136.00;  320344.00;   63124.00
1.005  ;  322136.00;  320344.00;   12492.00
1.005  ;  322136.00;  320344.00;   20056.00
1.005  ;  322136.00;  320344.00;   21248.00
1.005  ;  322136.00;  320344.00;   12552.00
1.005  ;  322136.00;  320344.00;   19788.00
1.005  ;  322136.00;  320344.00;   21228.00
1.005  ;  322136.00;  320344.00;   13484.00
1.005  ;  322136.00;  320344.00;   12580.00
1.005  ;  322136.00;  320344.00;   21292.00
1.005  ;  322136.00;  320344.00;   13320.00
1.005  ;  322136.00;  320344.00;   12476.00
1.005  ;  322136.00;  320344.00;   21164.00
1.005  ;  322136.00;  320344.00;   21072.00
1.005  ;  322136.00;  320344.00;   12516.00
1.005  ;  322136.00;  320344.00;   21212.00
1.005  ;  322136.00;  320344.00;   20552.00
1.005  ;  322136.00;  320344.00;   19844.00
1.005  ;  322136.00;  320344.00;    2436.00
1.005  ;  322136.00;  320344.00;    2384.00
1.005  ;  322136.00;  320344.00;    1988.00
1.005  ;  322136.00;  320344.00;    3760.00
1.005  ;  322136.00;  320344.00;    1868.00
1.005  ;  322136.00;  320344.00;    4404.00
1.005  ;  322136.00;  320344.00;    4260.00
1.005  ;  322136.00;  320344.00;    3624.00
1.005  ;  322136.00;  320344.00;    1880.00
1.005  ;  322136.00;  320344.00;    5140.00
1.005  ;  322136.00;  320344.00;    2324.00
1.005  ;  322136.00;  320344.00;    3340.00
1.005  ;  322136.00;  320344.00;    2044.00
1.005  ;  322136.00;  320344.00;    3148.00
1.005  ;  322136.00;  320344.00;    3380.00
1.005  ;  322136.00;  320344.00;    4496.00
1.005  ;  322136.00;  320344.00;    2540.00
1.005  ;  322136.00;  320344.00;    2644.00
