Watching PID 62794 page references for every 1 seconds...
Est(s) ;    RSS(kB);    PSS(kB);    Ref(kB)
1.001  ;    7392.00;    5588.00;     184.00
1.001  ;    7392.00;    5588.00;     284.00
1.001  ;    7392.00;    5588.00;     212.00
1.001  ;    7392.00;    5588.00;     284.00
1.001  ;    7392.00;    5588.00;     388.00
1.001  ;    7392.00;    5588.00;     112.00
1.001  ;    7392.00;    5588.00;     352.00
1.001  ;    7392.00;    5588.00;      36.00
1.001  ;    7392.00;    5588.00;     408.00
1.001  ;    7392.00;    5588.00;      40.00
1.001  ;    7392.00;    5588.00;     400.00
1.000  ;    7392.00;    5588.00;      56.00
1.001  ;    7392.00;    5588.00;     312.00
1.001  ;    7392.00;    5588.00;     176.00
1.001  ;    7392.00;    5588.00;     304.00
1.001  ;    7392.00;    5588.00;     188.00
1.001  ;    7392.00;    5588.00;     292.00
1.001  ;    7392.00;    5588.00;     196.00
1.001  ;    7392.00;    5588.00;     328.00
1.001  ;    7392.00;    5588.00;     148.00
1.001  ;    7392.00;    5588.00;     276.00
1.001  ;    7392.00;    5588.00;     176.00
1.001  ;    7392.00;    5588.00;     392.00
1.001  ;    7392.00;    5588.00;     772.00
1.001  ;    7392.00;    5588.00;     532.00
1.001  ;    7392.00;    5588.00;     568.00
1.001  ;    7392.00;    5588.00;     604.00
1.001  ;    7392.00;    5588.00;     392.00
1.001  ;    7396.00;    5592.00;     484.00
1.001  ;    7400.00;    5596.00;     608.00
1.001  ;    7400.00;    5596.00;      68.00
1.001  ;    7400.00;    5596.00;     684.00
1.001  ;    7400.00;    5596.00;     724.00
1.000  ;    7400.00;    5596.00;     740.00
1.001  ;    7400.00;    5596.00;      96.00
1.001  ;    7400.00;    5596.00;     412.00
1.001  ;    7400.00;    5596.00;     140.00
1.001  ;    7400.00;    5596.00;     780.00
1.001  ;    7400.00;    5596.00;    1524.00
1.001  ;    7400.00;    5596.00;     716.00
1.001  ;    7400.00;    5596.00;     272.00
1.001  ;    7400.00;    5596.00;     564.00
1.001  ;    7400.00;    5596.00;     904.00
1.001  ;    7400.00;    5596.00;     564.00
1.001  ;    7400.00;    5596.00;     160.00
1.001  ;    7400.00;    5596.00;     500.00
1.001  ;    7400.00;    5596.00;     176.00
1.001  ;    7400.00;    5596.00;     572.00
1.001  ;    7400.00;    5596.00;     268.00
1.001  ;    7400.00;    5596.00;     524.00
1.001  ;    7400.00;    5596.00;     160.00
1.001  ;    7400.00;    5596.00;     424.00
1.001  ;    7400.00;    5596.00;    1400.00
1.001  ;    7400.00;    5596.00;     856.00
1.001  ;    7400.00;    5596.00;     724.00
1.001  ;    7400.00;    5596.00;      48.00
1.001  ;    7400.00;    5596.00;     728.00
1.001  ;    7400.00;    5596.00;      88.00
1.001  ;    7400.00;    5596.00;     568.00
1.001  ;    7400.00;    5596.00;      48.00
1.001  ;    7400.00;    5596.00;     560.00
1.001  ;    7400.00;    5596.00;     592.00
1.001  ;    7400.00;    5596.00;     440.00
1.001  ;    7400.00;    5596.00;     352.00
1.001  ;    7400.00;    5596.00;     580.00
1.001  ;    7400.00;    5596.00;     188.00
1.001  ;    7400.00;    5596.00;     444.00
1.001  ;    7400.00;    5596.00;     460.00
1.001  ;    7400.00;    5596.00;     700.00
1.001  ;    7400.00;    5596.00;     152.00
1.001  ;    7400.00;    5596.00;     592.00
1.001  ;    7400.00;    5596.00;     128.00
1.001  ;    7400.00;    5596.00;     556.00
1.001  ;    7400.00;    5596.00;     316.00
1.001  ;    7400.00;    5596.00;     484.00
1.001  ;    7400.00;    5596.00;     164.00
1.001  ;    7400.00;    5596.00;     340.00
1.001  ;    7400.00;    5596.00;     508.00
1.001  ;    7400.00;    5596.00;     504.00
1.001  ;    7400.00;    5596.00;     596.00
1.001  ;    7400.00;    5596.00;     864.00
1.001  ;    7400.00;    5596.00;     584.00
1.001  ;    7400.00;    5596.00;    1188.00
1.001  ;    7400.00;    5596.00;    1396.00
1.001  ;    7400.00;    5596.00;    1520.00
1.001  ;    7400.00;    5596.00;     748.00
