Watching PID 68277 page references for every 1 seconds...
Est(s) ;    RSS(kB);    PSS(kB);    Ref(kB)
1.003  ;  139032.00;  137200.00;  134620.00
1.003  ;  172132.00;  170300.00;  165268.00
1.003  ;  175584.00;  173752.00;  165776.00
1.004  ;  182240.00;  180408.00;  172684.00
1.003  ;  190948.00;  189116.00;  179936.00
1.004  ;  194860.00;  193028.00;  181172.00
1.004  ;  195484.00;  193652.00;  180956.00
1.004  ;  196028.00;  194196.00;  181720.00
1.004  ;  196028.00;  194196.00;  181864.00
1.004  ;  196556.00;  194724.00;  182364.00
1.003  ;  196808.00;  194976.00;  182396.00
1.004  ;  197672.00;  195840.00;  183172.00
1.004  ;  198220.00;  196388.00;  183700.00
1.003  ;  200120.00;  198288.00;  185628.00
1.004  ;  201264.00;  199432.00;  186860.00
1.004  ;  203304.00;  201472.00;  189096.00
1.004  ;  207168.00;  205336.00;  193124.00
1.004  ;  209156.00;  207324.00;  195440.00
1.004  ;  211356.00;  209524.00;  198100.00
1.004  ;  215404.00;  213572.00;  203048.00
1.004  ;  220344.00;  218512.00;  208884.00
1.004  ;  222564.00;  220732.00;  211700.00
1.004  ;  222564.00;  220732.00;  211908.00
1.004  ;  222564.00;  220732.00;  212376.00
1.004  ;  222564.00;  220732.00;  212492.00
1.004  ;  222564.00;  220732.00;  212516.00
1.004  ;  222564.00;  220732.00;  212396.00
1.004  ;  222564.00;  220732.00;  212268.00
1.004  ;  222564.00;  220732.00;  211880.00
1.004  ;  222564.00;  220732.00;  211628.00
1.004  ;  222564.00;  220732.00;  211424.00
1.004  ;  222564.00;  220732.00;  211404.00
1.004  ;  222564.00;  220732.00;  211196.00
1.004  ;  222564.00;  220732.00;  211212.00
1.004  ;  222564.00;  220732.00;  211816.00
1.004  ;  222564.00;  220732.00;  212192.00
1.004  ;  222564.00;  220732.00;  212592.00
1.004  ;  222884.00;  221052.00;  213748.00
1.004  ;  225672.00;  223840.00;  216604.00
1.004  ;  227480.00;  225648.00;  218308.00
1.004  ;  227480.00;  225648.00;  218260.00
1.004  ;  227480.00;  225648.00;  218176.00
1.004  ;  227480.00;  225648.00;  218152.00
1.004  ;  227480.00;  225648.00;  218036.00
1.004  ;  227652.00;  225820.00;  218084.00
1.004  ;  229084.00;  227252.00;  219284.00
1.004  ;  229644.00;  227812.00;  219740.00
1.004  ;  229644.00;  227812.00;  219728.00
1.004  ;  230272.00;  228440.00;  220296.00
1.004  ;  230668.00;  228836.00;  220612.00
1.004  ;  231612.00;  229780.00;  221680.00
1.004  ;  232352.00;  230520.00;  222648.00
1.004  ;  232652.00;  230820.00;  223404.00
1.004  ;  233320.00;  231488.00;  224624.00
1.004  ;  233448.00;  231616.00;  225164.00
1.004  ;  233448.00;  231616.00;  225260.00
1.004  ;  233448.00;  231616.00;  225336.00
1.004  ;  233448.00;  231616.00;  223868.00
1.004  ;  233448.00;  231616.00;  224964.00
1.004  ;  233448.00;  231616.00;  224832.00
1.004  ;  233448.00;  231616.00;  224852.00
