Watching PID 74921 page references for every 1 seconds...
Est(s) ;    RSS(kB);    PSS(kB);    Ref(kB)
1.002  ;   87252.00;   85664.00;   60288.00
1.003  ;  112544.00;  110956.00;   68344.00
1.003  ;  132768.00;  131180.00;   75364.00
1.003  ;  152872.00;  151284.00;   81108.00
1.003  ;  168860.00;  167272.00;   50128.00
1.004  ;  176840.00;  175252.00;   43136.00
1.004  ;  183260.00;  181672.00;   45144.00
1.004  ;  188516.00;  186928.00;   46944.00
1.004  ;  193040.00;  191452.00;   47920.00
1.004  ;  197184.00;  195596.00;   50252.00
1.004  ;  201288.00;  199700.00;   52788.00
1.004  ;  205012.00;  203424.00;   54404.00
1.004  ;  208376.00;  206788.00;   56616.00
1.004  ;  211548.00;  209960.00;   57844.00
1.004  ;  214628.00;  213040.00;   58760.00
1.004  ;  235392.00;  233804.00;   80104.00
1.004  ;  246688.00;  245100.00;   63448.00
1.005  ;  254372.00;  252784.00;   64336.00
1.005  ;  260536.00;  258948.00;   66288.00
1.005  ;  265736.00;  264148.00;   68224.00
1.005  ;  270444.00;  268856.00;   69880.00
1.005  ;  274848.00;  273260.00;   71576.00
1.005  ;  278652.00;  277064.00;   73204.00
1.005  ;  282620.00;  281032.00;   76800.00
1.005  ;  286288.00;  284700.00;   77164.00
1.005  ;  289796.00;  288208.00;   79408.00
1.005  ;  293044.00;  291456.00;   80292.00
1.005  ;  296068.00;  294480.00;   82568.00
1.005  ;  299012.00;  297424.00;   84484.00
1.005  ;  301872.00;  300284.00;   85056.00
1.005  ;  304688.00;  303100.00;   87628.00
1.005  ;  307724.00;  306136.00;   89832.00
1.005  ;  310516.00;  308928.00;   86236.00
1.005  ;  313084.00;  311496.00;   87300.00
1.006  ;  315904.00;  314316.00;   89728.00
1.006  ;  318356.00;  316768.00;   90584.00
1.006  ;  320948.00;  319360.00;   92700.00
1.006  ;  334896.00;  333308.00;  119084.00
1.006  ;  353884.00;  352296.00;   73780.00
1.006  ;  364584.00;  362996.00;   79468.00
1.006  ;  370900.00;  369312.00;   98856.00
1.006  ;  374020.00;  372432.00;   27804.00
1.006  ;  375592.00;  374004.00;   17220.00
1.006  ;  379800.00;  378212.00;   63308.00
1.006  ;  380512.00;  378924.00;   39280.00
1.006  ;  380512.00;  378924.00;   35680.00
