Watching PID 82365 page references for every 1 seconds...
Est(s) ;    RSS(kB);    PSS(kB);    Ref(kB)
1.004  ;  280344.00;  278530.00;  257792.00
1.005  ;  363568.00;  361754.00;  210648.00
1.006  ;  507692.00;  505878.00;  254984.00
1.007  ;  543600.00;  541786.00;  184140.00
1.006  ;  545296.00;  543482.00;   60048.00
1.006  ;  545716.00;  543902.00;   67660.00
1.006  ;  545716.00;  543902.00;   31736.00
1.006  ;  545872.00;  544058.00;  169972.00
1.007  ;  545872.00;  544058.00;   83588.00
1.007  ;  545872.00;  544058.00;   98240.00
1.007  ;  545872.00;  544058.00;   94252.00
1.006  ;  545872.00;  544058.00;   97344.00
1.006  ;  545872.00;  544058.00;  103012.00
1.007  ;  545872.00;  544058.00;   76052.00
1.007  ;  546372.00;  544558.00;   90392.00
1.007  ;  548196.00;  546382.00;   99736.00
1.007  ;  549348.00;  547534.00;   92336.00
1.007  ;  550520.00;  548706.00;   91016.00
1.007  ;  552568.00;  550754.00;  103632.00
1.007  ;  554928.00;  553114.00;  107112.00
1.007  ;  556240.00;  554426.00;   94896.00
1.007  ;  558600.00;  556786.00;  100688.00
1.007  ;  562880.00;  561066.00;  104256.00
1.008  ;  565700.00;  563886.00;   95764.00
1.007  ;  567248.00;  565434.00;   80984.00
1.007  ;  579332.00;  577518.00;  180700.00
1.007  ;  579332.00;  577518.00;  124120.00
1.007  ;  580276.00;  578462.00;  142976.00
1.008  ;  586544.00;  584730.00;  170576.00
1.007  ;  586544.00;  584730.00;  185312.00
1.007  ;  591308.00;  589494.00;  187360.00
1.007  ;  591308.00;  589494.00;   78240.00
1.007  ;  591308.00;  589494.00;  100676.00
1.007  ;  591308.00;  589494.00;   71680.00
1.007  ;  591308.00;  589494.00;  101392.00
1.007  ;  592116.00;  590302.00;  164020.00
1.007  ;  592116.00;  590302.00;  111788.00
1.007  ;  592116.00;  590302.00;  103736.00
1.007  ;  592116.00;  590302.00;  121660.00
1.008  ;  592116.00;  590302.00;  113672.00
1.009  ;  596120.00;  594306.00;  116560.00
1.007  ;  601732.00;  599918.00;  174960.00
1.008  ;  601732.00;  599918.00;  118012.00
1.008  ;  601732.00;  599918.00;   76688.00
1.007  ;  601732.00;  599918.00;   54136.00
1.007  ;  601996.00;  600182.00;   61904.00
1.008  ;  602140.00;  600326.00;   43304.00
1.007  ;  602396.00;  600582.00;   46124.00
1.007  ;  602832.00;  601018.00;   50504.00
1.007  ;  604788.00;  602974.00;  130768.00
1.007  ;  604788.00;  602974.00;   75620.00
1.007  ;  604788.00;  602974.00;   50104.00
1.007  ;  604788.00;  602974.00;   80380.00
1.007  ;  604788.00;  602974.00;   59764.00
1.007  ;  604788.00;  602974.00;   62348.00
1.007  ;  604788.00;  602974.00;   32436.00
1.007  ;  606068.00;  604254.00;   55608.00
1.007  ;  611684.00;  609870.00;  121540.00
1.007  ;  611684.00;  609870.00;   71636.00
1.007  ;  611684.00;  609870.00;   82396.00
1.011  ;  611684.00;  609870.00;   78576.00
1.008  ;  621272.00;  619458.00;  145312.00
1.008  ;  621528.00;  619714.00;  110496.00
1.007  ;  622960.00;  621146.00;   81360.00
1.007  ;  627960.00;  626146.00;   76032.00
1.008  ;  633516.00;  631702.00;  200788.00
1.007  ;  633540.00;  631726.00;   81212.00
1.007  ;  633540.00;  631726.00;   78320.00
1.007  ;  633540.00;  631726.00;   88280.00
1.008  ;  633540.00;  631726.00;   90088.00
1.008  ;  633540.00;  631726.00;   86140.00
1.008  ;  633540.00;  631726.00;   80376.00
1.007  ;  633540.00;  631726.00;   81776.00
1.007  ;  633540.00;  631726.00;   83704.00
1.007  ;  633540.00;  631726.00;   86152.00
1.007  ;  633540.00;  631726.00;   89868.00
1.008  ;  633540.00;  631726.00;   85496.00
1.008  ;  633540.00;  631726.00;   96256.00
1.008  ;  633540.00;  631726.00;   92928.00
1.008  ;  633540.00;  631726.00;   89340.00
