Watching PID 87534 page references for every 1 seconds...
Est(s) ;    RSS(kB);    PSS(kB);    Ref(kB)
1.007  ;  835320.00;  833718.00;  815044.00
1.007  ;  835320.00;  833718.00;  817436.00
1.007  ;  835320.00;  833718.00;  817668.00
1.007  ;  835320.00;  833718.00;  819472.00
1.007  ;  835324.00;  833722.00;  818296.00
1.007  ;  835324.00;  833722.00;  819036.00
1.007  ;  835328.00;  833726.00;  817180.00
1.007  ;  835328.00;  833726.00;  817924.00
1.007  ;  835344.00;  833742.00;  818212.00
1.007  ;  835344.00;  833742.00;  816144.00
1.007  ;  835344.00;  833742.00;  818468.00
1.007  ;  835344.00;  833742.00;  819120.00
1.007  ;  835356.00;  833754.00;  818384.00
1.007  ;  835356.00;  833754.00;  816284.00
1.007  ;  835356.00;  833754.00;  817616.00
1.007  ;  835356.00;  833754.00;  812032.00
1.007  ;  835356.00;  833754.00;  817772.00
1.007  ;  835356.00;  833754.00;  818884.00
1.007  ;  835356.00;  833754.00;  819124.00
1.007  ;  835356.00;  833754.00;  816996.00
1.007  ;  835356.00;  833754.00;  816592.00
1.007  ;  835356.00;  833754.00;  815144.00
1.007  ;  835356.00;  833754.00;  815108.00
1.007  ;  835356.00;  833754.00;  813152.00
1.007  ;  835356.00;  833754.00;  817576.00
1.007  ;  835356.00;  833754.00;  816476.00
1.007  ;  835356.00;  833754.00;  818100.00
1.007  ;  835356.00;  833754.00;  811784.00
1.007  ;  835356.00;  833754.00;  812636.00
1.007  ;  835356.00;  833754.00;  822292.00
1.007  ;  835356.00;  833754.00;  819220.00
1.007  ;  835356.00;  833754.00;  819088.00
1.007  ;  835356.00;  833754.00;  818376.00
1.007  ;  835356.00;  833754.00;  818924.00
1.007  ;  835356.00;  833754.00;  818496.00
1.007  ;  835356.00;  833754.00;  820616.00
1.007  ;  835356.00;  833754.00;  819736.00
1.007  ;  835356.00;  833754.00;  819644.00
1.007  ;  835356.00;  833754.00;  819936.00
1.007  ;  835356.00;  833754.00;  819500.00
1.007  ;  835356.00;  833754.00;  816816.00
1.007  ;  835356.00;  833754.00;  819176.00
1.007  ;  835356.00;  833754.00;  818852.00
1.007  ;  835356.00;  833754.00;  818600.00
1.007  ;  835356.00;  833754.00;  819608.00
1.007  ;  835356.00;  833754.00;  818828.00
1.007  ;  835356.00;  833754.00;  816464.00
1.007  ;  835356.00;  833754.00;  818652.00
1.007  ;  835356.00;  833754.00;  818980.00
1.007  ;  835356.00;  833754.00;  819380.00
1.007  ;  835356.00;  833754.00;  819160.00
1.007  ;  835356.00;  833754.00;  820152.00
1.007  ;  835356.00;  833754.00;  819460.00
1.007  ;  835356.00;  833754.00;  818720.00
1.007  ;  835356.00;  833754.00;  814884.00
1.007  ;  835356.00;  833754.00;  814424.00
1.007  ;  835356.00;  833754.00;  818552.00
1.007  ;  835356.00;  833754.00;  817696.00
1.007  ;  835356.00;  833754.00;  820724.00
1.007  ;  835356.00;  833754.00;  819588.00
1.007  ;  835356.00;  833754.00;  816072.00
1.007  ;  835356.00;  833754.00;  822292.00
1.007  ;  835356.00;  833754.00;  819560.00
1.007  ;  835356.00;  833754.00;  815352.00
1.007  ;  835356.00;  833754.00;  818196.00
1.007  ;  835356.00;  833754.00;  817880.00
1.007  ;  835356.00;  833754.00;  819348.00
1.007  ;  835356.00;  833754.00;  816900.00
1.007  ;  835356.00;  833754.00;  818212.00
1.007  ;  835356.00;  833754.00;  816856.00
1.007  ;  835356.00;  833754.00;  819208.00
1.007  ;  835356.00;  833754.00;  820092.00
1.007  ;  835356.00;  833754.00;  819980.00
1.007  ;  835356.00;  833754.00;  822268.00
1.007  ;  835356.00;  833754.00;  818688.00
1.007  ;  835356.00;  833754.00;  819816.00
1.007  ;  835356.00;  833754.00;  820304.00
1.007  ;  835356.00;  833754.00;  819860.00
1.007  ;  835356.00;  833754.00;  820340.00
1.007  ;  835356.00;  833754.00;  820020.00
1.007  ;  835356.00;  833754.00;  819460.00
1.007  ;  835356.00;  833754.00;  819324.00
1.007  ;  835356.00;  833754.00;  820128.00
1.007  ;  835356.00;  833754.00;  820116.00
1.007  ;  835356.00;  833754.00;  819556.00
