Watching PID 92703 page references for every 1 seconds...
Est(s) ;    RSS(kB);    PSS(kB);    Ref(kB)
1.001  ;   11496.00;    9827.00;    6212.00
1.001  ;   11628.00;    9959.00;    6344.00
1.001  ;   11724.00;   10055.00;    6232.00
1.001  ;   11936.00;   10267.00;    7400.00
1.001  ;   11948.00;   10279.00;    6220.00
1.001  ;   11960.00;   10291.00;    6520.00
1.001  ;   12128.00;   10459.00;    7520.00
1.001  ;   12296.00;   10627.00;    7692.00
1.001  ;   12328.00;   10659.00;    6608.00
1.001  ;   12376.00;   10707.00;    6456.00
1.001  ;   12416.00;   10747.00;    6684.00
1.001  ;   12432.00;   10763.00;    7400.00
1.001  ;   12488.00;   10819.00;    8016.00
1.001  ;   12872.00;   11203.00;    8392.00
1.001  ;   12900.00;   11231.00;    7116.00
1.001  ;   12920.00;   11251.00;    7024.00
1.001  ;   12944.00;   11275.00;    7600.00
1.001  ;   13364.00;   11695.00;    8188.00
1.001  ;   13380.00;   11711.00;    7144.00
1.001  ;   13412.00;   11743.00;    7016.00
1.001  ;   13424.00;   11755.00;    7288.00
1.001  ;   13444.00;   11775.00;    7056.00
1.001  ;   13456.00;   11787.00;    8052.00
1.001  ;   13484.00;   11815.00;    7372.00
1.001  ;   13516.00;   11847.00;    7460.00
1.001  ;   13524.00;   11855.00;    7344.00
1.001  ;   13564.00;   11895.00;    7552.00
1.001  ;   13620.00;   11951.00;    8528.00
1.001  ;   13672.00;   12003.00;    8088.00
1.001  ;   13704.00;   12035.00;    8004.00
1.001  ;   14148.00;   12479.00;    9384.00
1.001  ;   14208.00;   12539.00;    8488.00
1.001  ;   14252.00;   12583.00;    8292.00
1.001  ;   14328.00;   12659.00;    8760.00
1.001  ;   14776.00;   13107.00;    9568.00
1.001  ;   14832.00;   13163.00;    8648.00
1.001  ;   14860.00;   13191.00;    8420.00
1.002  ;   14896.00;   13227.00;    8556.00
1.001  ;   14912.00;   13243.00;    8948.00
1.001  ;   14972.00;   13303.00;    8864.00
1.001  ;   14996.00;   13327.00;    8664.00
1.001  ;   15036.00;   13367.00;    9136.00
1.001  ;   15116.00;   13447.00;    9892.00
1.001  ;   15116.00;   13447.00;    6188.00
1.001  ;   15116.00;   13447.00;    6028.00
1.001  ;   15116.00;   13447.00;    6176.00
1.001  ;   15116.00;   13447.00;    6312.00
1.001  ;   15116.00;   13447.00;    6688.00
1.001  ;   15116.00;   13447.00;    6216.00
1.001  ;   15116.00;   13447.00;    6276.00
1.001  ;   15116.00;   13447.00;    7980.00
1.001  ;   15116.00;   13447.00;    7048.00
1.001  ;   15116.00;   13447.00;    7088.00
1.001  ;   15116.00;   13447.00;    6956.00
1.001  ;   15116.00;   13447.00;    6736.00
1.001  ;   15116.00;   13447.00;    6940.00
1.001  ;   15116.00;   13447.00;    6860.00
1.001  ;   15116.00;   13447.00;    7280.00
1.001  ;   15116.00;   13447.00;    7580.00
1.001  ;   15116.00;   13447.00;    7176.00
1.001  ;   15116.00;   13447.00;    8072.00
1.001  ;   15116.00;   13447.00;    8016.00
1.001  ;   15116.00;   13447.00;    7484.00
1.001  ;   15116.00;   13447.00;    7068.00
1.001  ;   15116.00;   13447.00;    7400.00
